1,1,Mar 28,TEX,,CHC,L,4-12,6-6,,99,0.0,0,0,0,1,0,0,0,---,1,4,0,0,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,.34,-0.013,-1.00,-0.60,0.00, 6t 123 2 out d6, 6t 123 2 out d7
2,3,Mar 31,TEX,,CHC,W,11-10,6-7,,2,1.0,1,0,0,2,1,0,0,0.00,6,26,14,3,3,2,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.77,0.032,0.57,2.45,6.00, 6t 12- 2 out d3, 7t 12- 2 out d2
3,10,Apr 7,TEX,@,LAA,L,2-7,5-6,,6,2.0,2,2,2,1,1,1,1,6.00,10,39,22,12,2,2,5,2,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.46,-0.063,-1.01,0.10,3.00, 5b --- 0 out d2, 6b 3 out d4
4,12,Apr 10,TEX,@,ARI,W,5-2,9-GF,S(1),2,0.2,0,0,0,0,1,0,0,4.91,2,9,4,1,2,0,1,1,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,4.44,0.207,1.60,3.50,5.00, 9b 123 1 out a3, 9b end a 3
5,15,Apr 15,TEX,,LAA,W,12-7,8-9,,4,1.2,1,2,2,3,0,1,1,6.75,10,37,16,8,0,3,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,-0.007,-1.68,-3.25,-1.00, 8t --- 0 out a7, 9t 123 2 out a5
