1,3,Apr 18,DET,@,CLE,L,4-8,4-6,,99,2.2,5,4,4,2,2,0,1,13.50,16,,2,0,0,13,1,0,0,0,0,0
2,22,May 9,DET,,WSH,L,3-6,GS-,L(0-1),20,1.0,5,4,0,0,0,0,0,9.82,7,35,,,,7,,,,,0,
3,32,May 19,DET,,CHW,L,3-10,9-GF,,9,1.0,0,0,0,1,0,0,0,7.71,3,,0,0,0,2,0,0,0,1,0,0
4,40,May 27(2),DET,@,CHW,L,5-6,,,7,0.1,0,0,0,0,0,0,0,7.20,2,,,,,2,,,,,0,
