7 (6),Apr 19,CLE,,DET,W,8-7,GF,0, ,1,0,0,1,0,
8,Apr 20,CLE,,DET,L,4-7,CG,0,9.0,1,0,0,1,0,
9,Apr 21,CLE,,DET,L,4-5,CG,0,9.0,1,0,0,1,0,
10,Apr 22,CLE,,DET,W,4-3,CG,0,9.0,2,0,0,2,0,
15 (4),Apr 28,CLE,,SLB,L,1-10,GS,0, ,0,0,0,0,0,
17 (1),Apr 30,CLE,,SLB,L,2-4,,0, ,0,0,0,0,0,
18,May 2,CLE,,CHW,L,3-8,GS,0,5.0,2,0,0,2,0,
19,May 3,CLE,,CHW,W,2-1,CG,0,9.0,2,0,0,2,0,
37 (17),May 25,CLE,,NYY,W,6-5,GF,0, ,0,0,0,0,0,
51 (13),Jun 10,CLE,,CHW,L,4-10,GF,0, ,2,0,0,2,0,
52,Jun 12,CLE,@,WSH,T,2-2,GF,0, ,1,1,0,2,0,
