4,142 (141),Sep 13,CLE,,PHA,W,8-4,CG,5,3,3,2,0,0,0,,2,,0,0,0,,,,0,,.667,.800,.667,1.467,1,LF
5,143,Sep 14,CLE,,PHA,W,9-1,CG,4,4,2,2,0,0,0,,0,,0,0,0,,,,0,,.571,.667,.571,1.238,4,RF
6,144,Sep 15,CLE,,PHA,W,3-2,CG,4,4,1,1,0,0,0,,0,,0,0,0,,,,0,,.455,.538,.455,.993,4,RF
7,145,Sep 16,CLE,,NYY,L,3-4,CG,4,4,1,0,0,0,0,0,0,,0,0,0,,,,0,,.333,.412,.333,.745,4,RF
8,146,Sep 17,CLE,,NYY,W,9-7,CG,4,2,1,0,0,0,0,,2,,0,0,0,,,,0,,.294,.429,.294,.723,4,RF
9,147,Sep 19,CLE,,WSH,L,6-9,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.294,.429,.294,.723,8,PR
10,148,Sep 20,CLE,,WSH,W,3-2,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,.294,.429,.294,.723,8,PR
11,149,Sep 21,CLE,,WSH,W,3-2,0-0,1,0,0,0,0,0,0,0,1,,0,0,0,,,,0,,.294,.455,.294,.749,8,PH
12,150,Sep 22,CLE,,BOS,L,1-4,0-0,1,0,0,0,0,0,0,0,1,,0,0,0,,,,0,,.294,.478,.294,.772,8,PH
13,151,Sep 23,CLE,,BOS,L,3-5,0-0,1,0,0,0,0,0,0,0,0,,0,0,1,,,,0,,.294,.478,.294,.772,8,PH
14,153 (1),Sep 25,CLE,,BOS,L,0-2,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.294,.478,.294,.772,8,PR
15,154,Sep 30 (1),CLE,,CHW,L,2-7,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,.294,.478,.294,.772,9,PR
16,155,Sep 30 (2),CLE,,CHW,L,3-7,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.294,.478,.294,.772,8,PR
17,157 (1),Oct 1 (2),CLE,,CHW,L,4-8,0-0,1,1,0,0,0,0,0,,0,,1,0,0,,,,0,,.278,.458,.278,.736,9,PH
