36 (35),May 16,MIN,@,CHW,L,0-11,,8,0.2,0,0,0,0,0,P
40 (3),May 20,MIN,,CHW,L,3-10,GF,8,2.0,1,0,0,1,0,P
43 (2),May 23,MIN,,CHW,L,7-17,,3,0.0,0,0,0,0,0,P
44,May 25,MIN,@,TBD,L,1-6,GF,4,1.1,0,0,0,0,0,P
50 (5),May 31,MIN,,TBD,L,3-7,,4,1.1,0,0,0,0,0,P
55 (4),Jun 5,MIN,,DET,L,0-6,GF,5,1.2,0,0,0,0,0,P
59 (3),Jun 10,MIN,,NYM,W,3-2,GF,7,1.2,0,1,0,1,0,P
63 (3),Jun 15,MIN,@,MON,W,8-2,GF,5,1.0,0,0,0,0,0,P
65 (1),Jun 17,MIN,@,MON,W,6-4,,4,0.1,0,0,0,0,0,P
66,Jun 18,MIN,@,MIL,L,1-4,,4,0.2,0,0,0,0,0,P
71 (4),Jun 24,MIN,@,BOS,W,4-3,,8,2.1,0,1,0,1,0,P
74 (2),Jun 27,MIN,,MIL,L,3-7,GF,3,1.0,0,1,0,1,0,P
75,Jun 29,MIN,,CHW,L,2-6,GF,1,0.1,0,0,0,0,0,P
76,Jun 30,MIN,,CHW,L,6-9,,5,1.0,0,0,0,0,0,P
79 (2),Jul 3,MIN,@,ARI,W,8-4,,6,2.0,0,0,0,0,0,P
84 (4),Jul 8,MIN,,DET,W,7-1,,5,1.1,0,0,0,0,0,P
86 (1),Jul 10,MIN,,DET,L,2-4,GF,4,1.0,0,0,0,0,0,P
89 (2),Jul 16,MIN,@,KCR,L,3-12,,8,1.2,0,0,0,0,0,P
91 (1),Jul 18,MIN,@,KCR,L,3-4,,4,0.1,0,0,0,0,0,P
93 (1),Jul 20,MIN,@,DET,W,5-4,,11,3.0,1,0,0,1,0,P
96 (2),Jul 23,MIN,@,BAL,W,7-3,,4,1.1,0,0,0,0,0,P
98 (1),Jul 25,MIN,@,BAL,W,8-4,,3,1.0,0,0,0,0,0,P
119 (20),Aug 18,MIN,,NYY,W,7-2,,3,1.0,0,0,0,0,0,P
122 (2),Aug 21,MIN,,CLE,W,8-1,,3,1.0,1,0,0,1,0,P
124 (1),Aug 23,MIN,@,TEX,W,7-4,GF,6,1.0,0,0,0,0,0,P
127 (2),Aug 26,MIN,@,TEX,L,3-8,GF,5,1.0,0,0,0,0,0,P
129 (1),Aug 28,MIN,@,ANA,W,7-1,GF,4,1.0,0,0,0,0,0,P
131 (1),Aug 31,MIN,,TEX,W,8-5,,6,1.1,0,1,0,1,0,P
147 (15),Sep 17,MIN,,BAL,L,2-11,,4,0.1,0,0,0,0,0,P
151 (3),Sep 21,MIN,@,CHW,L,6-8,GF,4,1.0,0,0,0,0,0,P
152,Sep 22,MIN,@,CHW,L,6-7,,3,0.2,0,0,0,0,0,P
155 (2),Sep 25,MIN,@,CLE,L,3-5,GF,1,0.1,0,0,0,0,0,P
157 (1),Sep 29 (1),MIN,@,NYY,L,3-5,,3,1.0,0,0,0,0,0,P
159 (1),Sep 30,MIN,@,NYY,L,4-6,,6,0.2,0,0,0,0,0,P
161 (1),Oct 2 susp,MIN,,CLE,W,6-5,,2,0.1,0,0,0,0,0,P
162,Oct 3,MIN,,CLE,L,2-5,GF,8,1.2,0,0,0,0,0,P
