1,139 (138),Sep 9,MIL,@,MIA,L,2-5,CG,3,2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,.500,.667,1.000,1.667,8,.91,0.124,1.25,9.00,3.75,C
2,140,Sep 10,MIL,@,PIT,W,6-4,13-13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.500,.667,1.167,5,2.26,0.082,0.37,2.00,0.75,PH
3,142 (1),Sep 12,MIL,@,PIT,L,2-10,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.250,.286,.536,8,.46,-0.048,-1.32,0.00,-1.00,C
4,143,Sep 13,MIL,@,PIT,L,6-7,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.143,.250,.286,.536,8,,,,0.00,0.00,C
5,145 (1),Sep 16,MIL,,STL,L,4-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.222,.250,.472,9,1.71,-0.043,-0.10,0.00,-0.25,PH
6,147 (1),Sep 18,MIL,,CIN,L,3-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.200,.222,.422,2,1.48,-0.042,-0.22,0.00,-0.25,PH
7,148,Sep 19,MIL,,CIN,L,7-9,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.182,.200,.382,4,.52,-0.013,-0.10,0.00,-0.25,PH
8,149,Sep 20,MIL,,CIN,W,8-4,GS-9,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.133,.188,.200,.388,8,.94,0.264,1.04,5.00,1.00,C
9,153 (3),Sep 24,MIL,@,STL,L,3-7,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.133,.188,.200,.388,7,,,,0.00,0.00,C
10,154,Sep 25,MIL,@,STL,W,4-3,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.118,.167,.176,.343,8,.73,-0.036,-0.32,0.00,-0.50,C
11,156 (1),Sep 27,MIL,@,STL,W,8-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.118,.167,.176,.343,8,,,,0.00,0.00,C
12,160 (3),Oct 2,MIL,,CHC,L,1-6,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.143,.150,.293,8,.56,-0.043,-0.66,0.00,-0.75,C
