1,Apr 11,CLE,,DET,W,3-2,CG,0,11.0,2,0,0,2,0,
2,Apr 12,CLE,,DET,W,4-2,CG,0,9.0,5,0,0,5,0,
3,Apr 13,CLE,,DET,L,4-12,CG,0,9.0,1,0,0,1,0,
4,Apr 14,CLE,,DET,L,0-1,CG,0,9.0,2,0,0,2,0,
5,Apr 15,CLE,,SLB,W,8-5,CG,0,9.0,1,0,0,1,0,
6,Apr 16,CLE,,SLB,W,9-8,CG,0,9.0,1,0,0,1,0,
8 (1),Apr 21,CLE,@,DET,W,4-0,CG,0,10.0,3,0,1,4,0,
20 (11),May 12,CLE,,WSH,W,6-1,GF,0, ,1,0,0,1,0,
21,May 13,CLE,@,WSH,L,6-9,CG,0,8.0,4,0,0,4,0,
24 (2),May 18,CLE,@,NYY,W,10-7,CG,0,10.0,2,0,0,2,0,
25,May 20,CLE,@,NYY,W,6-3,CG,0,9.0,2,0,0,2,0,
26,May 21,CLE,@,BOS,L,1-3,CG,0,8.0,3,0,0,3,0,
27,May 22,CLE,@,BOS,L,0-9,CG,0,8.0,2,1,1,4,0,
30 (2),May 25 (2),CLE,,SLB,L,4-5,GF,0, ,0,0,0,0,0,
31,May 26,CLE,,SLB,L,1-3,GF,0, ,0,0,0,0,0,
37 (5),Jun 1,CLE,,BOS,W,9-2,GF,0,6.0,1,0,0,1,0,
45 (7),Jun 9,CLE,,PHA,L,2-13,CG,0,9.0,4,1,0,5,0,
46,Jun 10,CLE,,PHA,L,3-6,CG,0,9.0,3,0,0,3,0,
47,Jun 11,CLE,,PHA,L,7-8,CG,0,9.0,2,0,0,2,0,
48,Jun 12,CLE,,PHA,L,0-6,CG,0,9.0,3,0,1,4,0,
50 (1),Jun 14,CLE,,WSH,L,8-13,CG,0,9.0,0,0,0,0,0,
51,Jun 15,CLE,,WSH,L,5-6,CG,0,9.0,1,1,1,3,0,
