1,1,Apr 16,BOS,@,WSH,W,6-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,.250,.250,.500,.750,7,.74,-0.063,-1.36,3B
2,2,Apr 17,BOS,@,WSH,W,13-6,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.222,.222,.333,.556,7,.38,-0.031,-0.82,3B
3,3,Apr 18,BOS,@,WSH,W,3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.154,.154,.231,.385,7,.95,-0.093,-1.24,3B
4,4,Apr 20,BOS,,PHA,W,2-1,CG,3,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.133,.188,.200,.388,7,.98,-0.020,-0.13,3B
5,5,Apr 21 (1),BOS,,PHA,W,12-11,CG(10),5,5,0,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,.150,.190,.250,.440,7,.88,-0.041,-0.21,3B
6,6,Apr 21 (2),BOS,,PHA,L,0-3,CG(5),2,2,0,0,0,0,0,0,0,,2,0,0,,,0,0,0,.136,.174,.227,.401,7,,,,3B
7,7,Apr 22,BOS,,WSH,W,5-4,CG,3,2,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,.125,.192,.208,.401,7,,,,3B
8,8,Apr 23,BOS,,WSH,L,2-8,GS-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.120,.185,.200,.385,7,,,,3B
9,17 (8),May 3,BOS,,CLE,W,9-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.115,.179,.192,.371,2,.02,-0.001,-0.23,3B
10,24 (6),May 10,BOS,@,NYY,W,5-4,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.115,.179,.192,.371,8,,,,3B
11,25,May 11,BOS,@,NYY,L,0-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.103,.161,.172,.334,8,1.22,-0.091,-0.65,3B
12,26,May 12,BOS,@,NYY,W,3-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.121,.171,.182,.353,8,.57,-0.009,-0.27,3B
13,27,May 14,BOS,@,CHW,W,3-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.111,.158,.167,.325,8,.66,-0.081,-1.68,3B
14,28,May 15,BOS,@,CHW,L,2-3,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,.103,.146,.154,.300,8,1.41,0.000,-0.21,3B
15,29,May 16,BOS,@,SLB,L,0-3,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,.098,.159,.146,.305,8,.36,-0.011,-0.08,3B
