77,4,Apr 7,ARI,,CHC,L,6-14,GS-4,L(0-1),99,3.1,6,7,6,3,2,0,1,16.20,20,70,40,11,5,6,8,5,2,0,21,,,0,0,0,16,2,1,0,0,0,0,1.50,-0.409,-4.09,,, 1t start tie, 4t 1-3 1 out a1
78,6,Apr 9,ARI,,CHC,L,2-4,8-8,,1,1.0,0,0,0,0,2,0,0,12.46,3,14,10,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.031,0.53,,, 8t --- 0 out d2, 8t 3 out d2
79,9,Apr 13,ARI,@,LAD,L,1-3,GS-5,L(0-2),3,4.2,5,3,2,1,3,1,1,8.00,21,81,49,15,7,12,5,3,0,0,46,,,0,0,0,19,0,0,0,0,0,2,1.05,-0.174,-1.02,,, 1b start tie, 5b 12- 2 out d2
80,12,Apr 16,ARI,@,SDP,L,3-5,14-GF(14),L(0-3),2,0.2,2,2,2,0,2,1,0,9.31,4,15,11,3,3,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.64,-0.369,-1.63,,,14b --- 0 out tie,14b end d 2
81,14,Apr 18,ARI,@,SFG,W,9-7,10-10,W(1-3),1,1.0,0,0,0,1,3,0,0,8.44,4,19,11,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.89,0.132,0.48,,,10b --- 0 out tie,10b 3 out tie
82,19,Apr 23,ARI,,PIT,W,7-1,GS-7,W(2-3),4,6.0,3,1,1,1,6,1,2,5.94,24,91,56,21,12,10,5,3,0,0,67,,,0,0,0,21,1,0,0,0,0,0,1.08,0.198,1.79,,, 1t start tie, 7t 1-- 0 out a1
83,24,Apr 28,ARI,,STL,W,3-0,GS-7,W(3-3),4,7.0,2,0,0,2,10,0,0,4.18,26,94,65,18,15,8,6,3,0,0,81,,,0,0,0,24,0,0,0,0,0,1,.84,0.361,3.71,,, 1t start tie, 7t 3 out a3
84,29,May 4,ARI,@,MIA,L,3-4,GS-6,L(3-4),5,5.2,8,4,4,2,4,1,0,4.60,27,96,58,16,5,8,13,7,1,0,39,,,0,1,0,25,2,0,1,0,0,1,.89,-0.183,-1.81,,, 1b start tie, 6b -23 2 out d1
85,35,May 10,ARI,@,COL,W,5-1,GS-8,W(4-4),5,7.1,4,1,1,1,6,0,0,3.93,28,96,67,19,8,14,7,3,1,0,71,,,0,0,0,26,1,0,0,0,0,1,.92,0.329,2.60,,, 1b start tie, 8b --3 1 out a4
86,40,May 15,ARI,,SFG,L,1-2,GS-7,,4,6.2,1,1,1,4,7,1,0,3.53,25,101,59,13,16,6,8,3,3,0,71,,,0,0,0,21,0,0,0,0,0,0,.91,0.252,2.26,,, 1t start tie, 7t 12- 2 out tie
87,48,May 25,ARI,@,PIT,L,4-5,GS-5,L(4-5),9,4.1,9,5,5,0,4,2,0,4.15,23,92,63,14,7,11,8,6,0,0,29,,,1,0,0,23,2,0,0,0,0,1,1.33,-0.401,-2.80,,, 1b start tie, 5b --- 1 out d1
88,140,Sep 9,ARI,,SFG,L,6-7,GS-2,,99,2.0,1,1,1,2,3,0,0,4.17,9,43,23,10,4,1,3,1,0,0,51,,,0,0,0,6,0,0,0,0,1,0,1.21,-0.005,0.06,,, 1t start tie, 2t 3 out d1
89,145,Sep 14,ARI,,COL,W,11-6,GS-2,,4,1.0,2,1,1,3,2,1,0,4.26,8,45,23,7,4,1,2,2,0,0,44,,,0,0,0,5,0,0,0,0,0,0,1.34,-0.089,-0.86,,, 1t start tie, 2t 1-- 0 out a1
