,date,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Open OU,Unnamed: 18,Close OU,Unnamed: 20,h_team,h_1st,h_2nd,h_3rd,h_4th,h_5th,h_6th,h_7th,h_8th,h_9th,h_final,h_ML,h_win,v_win,Past_10_v,Past_10_h,season,neutral,team1,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
0,2013331,331,997,V,TEX,MHARRISON-L,0,0,0,0,0,2,0,0,0,2,-160,-170,8.5,-110,8.5,-105,HOU,0,0,0,2,2,3,0,1,0,8,140,1,0,,,2013,0,HOU,1446.199,1526.809,0.419245037,0.580754963,1450.186,1522.822,1447.247,1529.402,Bud Norris,Matt Harrison,50.238,53.984,9.353,11.7171,0.412183077,0.587816923,1451.257,1525.391,8,2
1,2013401,401,907,V,COL,JCHACIN-R,0,0,2,0,1,0,0,0,1,4,123,135,7.5,-110,8,-115,MIL,0,0,1,0,0,0,0,3,0,5,-138,1,0,,,2013,0,MIL,1517.271,1470.951,0.599839034,0.400160966,1518.354,1469.868,1515.93,1469.649,Yovani Gallardo,Jhoulys Chacin,53.532,50.256,13.6676,13.7757,0.604487011,0.395512989,1516.999,1468.58,5,4
2,2013401,401,921,V,SEA,FHERNANDZ-R,0,0,0,0,2,0,0,0,0,2,-104,100,6.5,-103,6.5,-105,OAK,0,0,0,0,0,0,0,0,0,0,-106,0,1,,,2013,0,OAK,1535.108,1494.38,0.592088124,0.407911876,1532.805,1496.682,1538.529,1494.471,Brett Anderson,Felix Hernandez,53.84,57.118,12.5161,29.5912,0.576681625,0.423318375,1536.301,1496.698,0,2
3,2013401,401,911,V,PHI,CHAMELS-L,0,0,0,1,2,0,1,1,0,5,105,-103,7,-105,7,110,ATL,2,1,1,0,1,2,0,0,0,7,-115,1,0,,,2013,0,ATL,1528.036,1517.543,0.549476971,0.450523029,1529.657,1515.922,1526.99,1515.367,Tim Hudson,Cole Hamels,53.469,57.865,9.9593,27.4104,0.529755894,0.470244106,1528.702,1513.655,7,5
4,2013401,401,919,V,DET,VERLANDER-R,2,1,0,0,0,0,0,1,0,4,-185,-183,7.5,103,7,-105,MIN,0,0,0,0,0,1,1,0,0,2,165,0,1,,,2013,0,MIN,1469.442,1530.998,0.446162098,0.553837902,1467.892,1532.548,1469.2,1527.738,Vance Worley,Justin Verlander,48.926,61.869,6.6646,40.2649,0.402882873,0.597117127,1467.829,1529.108,2,4
5,2013401,401,915,V,BOS,JLESTER-L,0,4,0,0,0,0,1,0,3,8,116,100,8,-113,8,-105,NYY,0,0,0,2,0,0,0,0,0,2,-131,0,1,,,2013,0,NYY,1538.814,1483.997,0.611520273,0.388479727,1534.594,1488.217,1538.102,1482.683,CC Sabathia,Jon Lester,57.864,51.3,27.2412,15.0024,0.625653254,0.374346746,1533.702,1487.082,2,8
6,2013401,401,913,V,STL,WAINWRIGHT-R,1,0,0,0,0,0,1,0,0,2,-104,-109,8.5,-109,9,100,ARI,0,0,0,3,1,0,2,0,0,6,-106,1,0,,,2013,0,ARI,1510.993,1526.556,0.512139433,0.487860567,1513.505,1524.043,1510.266,1526.323,Ian Kennedy,Adam Wainwright,52.854,53.695,14.7486,15.6745,0.513965238,0.486034762,1512.76,1523.828,6,2
7,2013402,402,959,V,CLE,MASTERSON-R,0,2,0,0,2,0,0,0,0,4,150,160,8,-110,8.5,-115,TOR,0,0,1,0,0,0,0,0,0,1,-170,0,1,,,2013,0,TOR,1491.342,1460.478,0.578305845,0.421694155,1488.674,1463.146,1491.038,1459.079,R.A. Dickey,Justin Masterson,57.09,48.315,41.1767,7.1158,0.629118516,0.370881484,1488.066,1462.051,1,4
8,2013402,402,963,V,SEA,HIWAKUMA-R,0,0,3,0,1,0,1,1,1,7,124,117,7,-110,7,-125,OAK,0,1,0,0,0,0,0,0,0,1,-139,0,1,,,2013,0,OAK,1532.805,1496.682,0.585670504,0.414329496,1528.763,1500.725,1536.301,1496.698,Jarrod Parker,Hisashi Iwakuma,53.552,51.948,10.763,3.9339,0.599993916,0.400006084,1532.133,1500.866,1,7
9,2013402,402,951,V,COL,DELAROSA-L,0,1,1,0,2,0,3,1,0,8,122,138,8,-110,8.5,-125,MIL,0,2,2,0,0,0,0,0,0,4,-137,0,1,,,2013,0,MIL,1518.354,1469.868,0.602828115,0.397171885,1515.001,1473.221,1516.999,1468.58,Marco Estrada,Jorge de la Rosa,51.548,52.254,5.2264,22.3673,0.578887057,0.421112943,1513.813,1471.767,4,8
