,date,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Open OU,Unnamed: 19,Close OU,Unnamed: 21,h_team,h_1st,h_2nd,h_3rd,h_4th,h_5th,h_6th,h_7th,h_8th,h_9th,h_final,h_ML,h_win,v_win,Past_10_v,Past_10_h,season,neutral,team1,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
0,2018329,329,915,V,MIN,JODORIZZI-R,0,0,0,0,0,0,0,0,2,2,110,112,9.5,-101,9.5,-105,BAL,0,0,0,0,0,0,2,0,0,3,-125,1,0,,,2018,0,BAL,1490.909444,1511.616098,0.504739363,0.495260637,1492.257818,1510.267724,1475.341336,1510.114798,Dylan Bundy,Jake Odorizzi,52.3656862,49.88075959,12.42217261,1.996043492,0.497757362,0.502242638,1476.69269,1508.763445,3,2
1,2018329,329,913,V,COL,JGRAY-R,1,0,0,0,0,1,0,0,0,2,-115,-101,9,-119,8,-118,ARI,3,0,0,0,0,3,2,0,0,8,105,1,0,,,2018,0,ARI,1520.223717,1505.573521,0.555393787,0.444606213,1523.008924,1502.788315,1523.096148,1502.921072,Patrick Corbin,Jon Gray,48.96751358,54.28804855,-8.795713667,16.06326465,0.527769494,0.472230506,1526.07635,1499.94087,8,2
2,2018329,329,907,V,PHI,ANOLA-R,1,0,0,0,0,4,0,0,0,5,-125,-131,8,-110,8,-119,ATL,0,0,0,0,0,2,0,3,3,8,110,1,0,,,2018,0,ATL,1479.657052,1479.258769,0.535054349,0.464945651,1481.668909,1477.246911,1473.636795,1489.668039,Julio Teheran,Aaron Nola,49.78740549,55.11911119,8.009869743,23.9217731,0.488697889,0.511302111,1475.88447,1487.420363,8,5
3,2018329,329,903,V,STL,CMARTINEZ-R,0,2,0,1,0,1,0,0,0,4,110,123,7,-106,6.5,-125,NYM,1,2,0,0,5,0,0,1,0,9,-125,1,0,,,2018,0,NYM,1474.028034,1514.141489,0.476827485,0.523172515,1477.154562,1511.014961,1490.530894,1521.918005,Noah Syndergaard,Carlos Martinez,56.54269968,52.93050243,33.89525268,18.6082202,0.51363726,0.48636274,1493.369775,1519.079124,9,4
4,2018329,329,927,V,CLE,CKLUBER-R,0,0,0,0,0,0,1,0,0,1,-170,-180,7.5,-101,7,-105,SEA,2,0,0,0,0,0,0,0,0,2,150,1,0,,,2018,0,SEA,1503.600101,1565.825305,0.4452104,0.5547896,1505.197633,1564.227772,1508.331868,1576.164409,Felix Hernandez,Corey Kluber,49.13785773,63.29681908,-0.502905649,36.8721652,0.38636744,0.61363256,1510.129219,1574.367058,2,1
5,2018329,329,921,V,BOS,CSALE-L,0,3,0,0,0,0,1,0,0,4,-175,-173,7,-119,6.5,-119,TAM,0,0,0,0,0,0,0,6,0,6,155,1,0,,,2018,0,TBD,1504.813089,1535.94896,0.4897321,0.5102679,1506.70429,1534.057759,1495.222907,1549.239386,Chris Archer,Chris Sale,51.54561626,58.92626153,8.500873795,31.47581258,0.428959956,0.571040044,1497.397452,1547.064841,6,4
6,2018329,329,917,V,HOU,JVERLANDER-R,1,0,1,1,0,0,0,1,0,4,-168,-160,9,-120,9,-119,TEX,0,0,0,0,0,0,0,0,1,1,148,0,1,,,2018,0,TEX,1497.372138,1549.382761,0.459776583,0.540223417,1495.494262,1551.260636,1496.557465,1576.939282,Cole Hamels,Justin Verlander,53.11585318,62.23779172,23.60260392,35.27054859,0.407903947,0.592096053,1494.964529,1578.532217,1,4
7,2018329,329,909,V,MIL,CANDERSON-R,0,0,1,0,0,0,0,0,0,2,-115,-131,8,-110,8,-115,SDG,0,0,0,0,0,0,0,0,1,1,105,0,1,,,2018,0,SDP,1469.419948,1511.085866,0.474598587,0.525401413,1468.048814,1512.457,1455.355606,1510.270412,Clayton Richard,Chase Anderson,45.08683498,55.43467477,-10.17060816,20.45266054,0.414042496,0.585957504,1454.195519,1511.430499,1,2
8,2018329,329,919,V,NYY,LSEVERINO-R,2,0,0,0,2,0,1,0,1,6,-155,-171,8.5,-105,8.5,-101,TOR,0,0,0,0,0,0,0,1,0,1,140,0,1,,,2018,0,TOR,1502.926219,1550.034973,0.466792783,0.533207217,1500.261533,1552.699659,1507.1725,1564.830678,J.A. Happ,Luis Severino,54.83542764,56.22377018,18.24507595,11.94671972,0.462449077,0.537550923,1504.529661,1567.473516,1,6
9,2018330,330,963,V,BOS,DPRICE-L,0,0,0,0,0,0,1,0,0,1,-175,-141,7.5,-105,7,-118,TAM,0,0,0,0,0,0,0,0,0,0,155,0,1,,,2018,0,TBD,1506.70429,1534.057759,0.49517412,0.50482588,1505.321363,1535.440686,1497.397452,1547.064841,Blake Snell,David Price,52.11682745,54.46844709,11.23612738,9.539753861,0.465557569,0.534442431,1496.118628,1548.343665,0,1
