1,Apr 14,SLB,@,CHW,L,0-3,CG,0,8.0,14,0,1,15,0,
2,Apr 15,SLB,@,CHW,W,5-4,CG,0,9.0,9,0,1,10,1,
3,Apr 18,SLB,@,DET,L,2-3,CG,0,8.0,10,1,1,12,0,
4,Apr 21,SLB,,CHW,W,4-1,CG,0,9.0,14,0,1,15,1,
5,Apr 25,SLB,,DET,W,6-5,CG,0,12.0,11,1,0,12,1,
6,Apr 27,SLB,,DET,L,1-7,CG,0,9.0,13,0,0,13,1,
7,Apr 28,SLB,,DET,L,1-7,CG,0,9.0,12,1,0,13,2,
8,Apr 29,SLB,,DET,L,0-5,CG,0,9.0,11,0,0,11,0,
9,Apr 30,SLB,,CLE,L,1-2,CG,0,9.0,12,0,0,12,0,
10,May 1,SLB,,CLE,L,4-5,CG,0,11.0,13,1,0,14,1,
11,May 2,SLB,,CLE,L,1-2,CG,0,11.0,12,2,1,15,1,
12,May 4,SLB,,CLE,T,3-3,GS,0,13.0,22,2,3,27,0,
21 (8),May 14,SLB,@,NYY,L,0-14,CG,0,8.0,8,1,0,9,0,
22,May 16,SLB,@,NYY,L,3-5,CG,0,8.0,6,0,0,6,0,
23,May 17,SLB,@,NYY,L,7-8,CG,0,10.1,11,0,0,11,2,
24,May 18,SLB,@,NYY,L,3-6,CG,0,8.0,9,2,0,11,0,
25,May 19,SLB,@,WSH,L,0-5,CG,0,8.0,6,0,0,6,1,
26,May 20,SLB,@,WSH,T,1-1,CG,0,6.0,8,1,1,10,0,
27,May 21,SLB,@,WSH,W,3-2,CG,0,9.0,6,0,0,6,0,
28,May 23,SLB,@,WSH,L,2-7,CG,0,8.0,11,3,0,14,1,
29,May 24,SLB,@,PHA,W,6-1,CG,0,9.0,13,1,1,15,1,
30,May 25,SLB,@,PHA,L,1-3,CG,0,8.0,8,1,0,9,0,
31,May 26,SLB,@,PHA,L,3-6,CG,0,8.0,3,3,0,6,1,
