146,1,Apr 14,SLB,@,CHW,L,0-3,CG,3,2,0,0,0,0,0,0,1,,2,0,0,,,,0,,.000,.333,.000,.333,6,1B
147,2,Apr 15,SLB,@,CHW,W,5-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.167,.286,.167,.452,6,1B
148,3,Apr 18,SLB,@,DET,L,2-3,CG,4,3,0,1,0,0,0,0,1,,0,0,0,,,,0,,.222,.364,.222,.586,6,1B
149,4,Apr 21,SLB,,CHW,W,4-1,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.167,.286,.167,.452,6,1B
150,5,Apr 25,SLB,,DET,W,6-5,CG(12),6,5,0,1,0,0,0,2,0,,1,0,1,,,,0,,.176,.263,.176,.440,6,1B
151,6,Apr 27,SLB,,DET,L,1-7,CG,4,4,0,1,1,0,0,0,0,,1,0,0,,,,0,,.190,.261,.238,.499,6,1B
152,7,Apr 28,SLB,,DET,L,1-7,CG,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,,.208,.269,.250,.519,6,1B
153,8,Apr 29,SLB,,DET,L,0-5,CG,4,3,0,1,0,0,0,0,1,,0,0,0,,,,1,,.222,.300,.259,.559,6,1B
154,9,Apr 30,SLB,,CLE,L,1-2,CG,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.226,.294,.258,.552,7,1B
155,10,May 1,SLB,,CLE,L,4-5,CG(11),5,5,0,2,1,0,0,,0,,0,0,0,,,,0,,.250,.308,.306,.613,7,1B
156,11,May 2,SLB,,CLE,L,1-2,CG(11),4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.225,.279,.275,.554,7,1B
157,12,May 4,SLB,,CLE,T,3-3,GS-0,5,5,0,0,0,0,0,,0,,0,0,0,,,,0,,.200,.250,.244,.494,7,1B
158,16 (3),May 8,SLB,@,DET,L,2-6,0-0,1,1,0,0,0,0,0,,0,,0,0,0,,,,0,,.196,.245,.239,.484,9,PH
159,21 (4),May 14,SLB,@,NYY,L,0-14,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.184,.231,.224,.455,7,1B
160,22,May 16,SLB,@,NYY,L,3-5,CG,4,4,0,2,0,0,0,0,0,,0,0,0,,,,2,,.208,.250,.245,.495,7,1B
161,23,May 17,SLB,@,NYY,L,7-8,CG(11),5,5,1,1,0,0,0,0,0,,0,0,0,,,,0,,.207,.246,.241,.487,7,1B
162,24,May 18,SLB,@,NYY,L,3-6,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.194,.231,.226,.457,7,1B
163,25,May 19,SLB,@,WSH,L,0-5,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.182,.217,.212,.430,7,1B
164,26,May 20,SLB,@,WSH,T,1-1,CG(6),2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,,.176,.211,.206,.417,7,1B
165,27,May 21,SLB,@,WSH,W,3-2,CG,4,4,0,0,0,0,0,0,0,,2,0,0,,,,0,,.167,.200,.194,.394,7,1B
166,28,May 23,SLB,@,WSH,L,2-7,CG,3,3,0,0,0,0,0,,0,,0,0,0,,,,0,,.160,.192,.187,.379,7,1B
167,29,May 24,SLB,@,PHA,W,6-1,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.165,.195,.190,.385,7,1B
168,30,May 25,SLB,@,PHA,L,1-3,CG,4,3,0,0,0,0,0,0,1,,0,0,0,,,,0,,.159,.198,.183,.381,7,1B
169,31,May 26,SLB,@,PHA,L,3-6,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.151,.189,.174,.363,7,1B
170,38 (6),Jun 2,SLB,,BOS,L,9-10,0-GF(11),1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.149,.187,.172,.359,9,PH
