128 (127),Aug 20,BOS,@,SFG,L,2-3,GS,23,5.2,0,2,0,2,0,SS
129,Aug 21,BOS,@,SFG,W,12-1,GF,10,3.0,0,0,0,0,0,3B
131 (1),Aug 24,BOS,@,LAD,W,4-2,GF,4,1.1,1,0,0,1,0,3B
132,Aug 25,BOS,@,LAD,W,8-1,CG,31,9.0,0,3,0,3,0,SS
133,Aug 27,BOS,,BAL,W,13-2,GF,3,1.0,0,0,0,0,0,3B
134,Aug 28,BOS,,BAL,W,4-3,GS,31,8.0,4,0,0,4,0,3B
137 (2),Aug 31,BOS,,CHW,W,7-2,CG,34,9.0,2,0,0,2,0,SS
138,Sep 1,BOS,,CHW,W,7-6,CG,40,9.0,1,0,0,1,0,3B
141 (2),Sep 4,BOS,,DET,W,20-4,GF,7,2.0,0,0,0,0,0,PR SS
144 (2),Sep 7,BOS,@,NYY,W,13-9,CG,45,9.0,1,4,0,5,0,SS
148 (3),Sep 12,BOS,@,TBR,L,3-4,CG,35,8.0,2,4,0,6,0,3B
150 (1),Sep 14,BOS,,NYY,W,5-1,CG,32,9.0,1,7,0,8,0,SS
151,Sep 15,BOS,,NYY,W,9-2,CG,35,9.0,1,3,0,4,1,3B
152,Sep 17,BOS,,BAL,L,2-3,CG,36,9.0,0,1,0,1,0,3B
156 (3),Sep 21,BOS,,TOR,L,2-4,CG,38,9.0,0,1,0,1,0,3B
160 (3),Sep 27,BOS,@,BAL,W,12-3,GF,3,1.0,0,0,0,0,0,PH SS
162 (1),Sep 29,BOS,@,BAL,L,6-7,CG,39,8.0,2,4,0,6,1,SS
