1,71,Jun 20,OAK,,HOU,L,4-8,9-GF,,99,1.0,1,1,1,0,0,1,1,9.00,4,13,8,1,0,0,3,0,2,0,,0,0,0,1,0,3,0,0,0,0,0,0,.06,-0.015,-0.49,-0.95,0.00, 9t --- 0 out d3, 9t end d 4
2,73,Jun 22,OAK,,HOU,L,9-12,6-8,,1,3.0,3,2,2,0,2,1,0,6.75,12,37,28,10,2,2,8,2,2,0,,0,0,0,0,0,11,1,1,0,0,1,0,.01,-0.001,-0.48,4.95,9.00, 6t --- 0 out d9, 8t 3 out d9
3,75,Jun 24,OAK,@,CHW,W,10-2,9-GF,,1,1.0,0,0,0,0,3,0,0,5.40,3,15,11,1,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.52,8.25,12.00, 9b --- 0 out a8, 9b end a 8
4,78,Jun 28,OAK,@,HOU,L,8-11,7-GF(8),,3,1.1,0,0,0,0,1,0,0,4.26,4,12,7,2,1,0,3,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.16,0.018,0.97,5.00,7.00, 7b 1-3 2 out d3, 8b end d 3
5,79,Jun 29,OAK,@,HOU,L,1-6,7-GF(8),,0,2.0,3,1,1,2,2,0,0,4.32,11,36,25,3,6,2,5,3,0,0,,0,0,0,0,0,8,1,0,1,0,1,0,.08,-0.010,-0.04,3.50,9.00, 7b --- 0 out d4, 8b end d 5
6,83,Jul 3,OAK,,CHW,L,2-7,7-8,,3,2.0,3,2,0,0,1,0,1,3.48,11,41,27,4,2,6,3,2,0,0,,0,0,0,0,0,9,2,0,0,1,0,2,.67,-0.057,-0.99,4.10,9.00, 7t --- 0 out d2, 8t 3 out d4
7,93,Jul 17,OAK,,TBR,L,2-3,9-GF,,13,1.0,1,0,0,0,1,0,0,3.18,4,16,11,3,2,0,3,2,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.28,0.018,0.51,3.65,6.00, 9t --- 0 out d2, 9t end d 2
8,107,Aug 1,OAK,,SFG,L,4-10,4-GF,,14,6.0,5,4,4,3,4,2,0,4.15,25,72,47,14,9,10,8,2,0,0,,0,0,0,0,0,22,1,1,1,1,0,0,.20,-0.117,-0.96,8.70,18.00, 4t --- 0 out d4, 9t end d 6
9,117,Aug 12,OAK,,BAL,L,5-12,1-6,,10,5.1,7,3,3,0,5,0,2,4.37,23,71,51,11,7,5,11,7,2,0,,2,2,0,0,0,21,2,0,0,1,0,0,.31,-0.094,-1.78,,, 1t 1-3 1 out d4, 6t 1-3 2 out d6
10,125,Aug 21,OAK,@,BAL,L,3-7,8-GF(8),,8,1.0,1,1,1,0,1,1,0,4.56,4,16,11,4,2,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.013,-0.48,,, 8b --- 0 out d3, 8b end d 4
11,132,Aug 29,OAK,@,LAA,L,2-8,8-GF(8),,7,1.0,1,1,1,0,1,1,0,4.74,4,15,12,1,2,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,-0.002,-0.49,,, 8b --- 0 out d5, 8b end d 6
12,136,Sep 3,OAK,@,SEA,L,2-10,8-GF(8),,4,1.0,6,5,5,0,0,0,1,6.31,10,27,17,3,2,5,4,3,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.06,-0.027,-4.49,,, 8b --- 0 out d3, 8b end d 8
13,144,Sep 12,OAK,@,BOS,L,1-11,8-GF(8),,8,1.0,0,0,0,0,0,0,0,6.08,3,7,5,1,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.56,,, 8b --- 0 out d10, 8b end d10
14,151,Sep 19,OAK,@,DET,W,9-8,6-6,,6,1.0,2,2,2,1,1,1,0,6.51,6,24,16,6,0,1,3,1,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.36,-0.096,-1.46,,, 6b --- 0 out d2, 6b 3 out d4
15,156,Sep 25,OAK,,SEA,L,1-7,7-GF,,5,3.0,0,0,0,0,1,0,0,5.87,9,30,21,3,4,3,5,0,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.03,0.006,1.52,,, 7t --- 0 out d6, 9t end d 6
16,161,Sep 30,OAK,@,TEX,L,4-8,8-GF(8),,4,1.0,0,0,0,0,1,0,0,5.68,3,15,10,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.57,,, 8b --- 0 out d5, 8b end d 5
