3,16,May 4,NYG,,PHI,W,12-2,,S(1),99,3.0,5,2,0,1,0,0,0,0.00,14,,,,,13,,,,,,
4,58,Jun 25(1),NYG,,BSN,L,10-14,,,51,2.2,6,3,0,2,0,0,0,0.00,14,,,,,12,,,,,,
