142 (141),Sep 6,MIN,,CHW,L,0-3,CG,32,9.0,2,0,0,2,0,CF
143,Sep 7,MIN,,CHW,W,5-4,CG,44,9.0,4,0,0,4,0,LF
144,Sep 9,MIN,@,DET,L,4-8,CG,36,8.0,5,0,0,5,0,RF
145,Sep 10,MIN,@,DET,L,2-3,CG,35,8.2,4,0,0,4,0,RF
146,Sep 11,MIN,@,DET,L,1-2,CG,33,8.0,3,0,0,3,0,CF
147,Sep 13,MIN,@,KCR,L,0-4,CG,37,8.0,1,0,1,2,0,LF
148,Sep 14,MIN,@,KCR,L,3-7,CG,38,8.0,1,0,0,1,0,LF
149,Sep 16,MIN,,CLE,L,6-7,CG,41,9.0,2,0,0,2,0,LF
150,Sep 17,MIN,,CLE,L,4-10,CG,45,9.0,4,0,0,4,0,RF
151,Sep 18,MIN,,CLE,L,5-6,CG,41,9.0,0,0,0,0,0,LF
152,Sep 19,MIN,@,NYY,L,4-6,CG,42,8.0,1,0,0,1,0,LF
153,Sep 20,MIN,,SEA,L,4-5,CG,42,9.0,1,0,0,1,0,LF
154,Sep 21,MIN,,SEA,L,4-5,CG,36,9.0,0,0,0,0,0,RF
155,Sep 22,MIN,,SEA,W,3-2,CG,41,9.0,2,0,0,2,0,LF
156,Sep 23,MIN,@,CLE,L,5-6,CG,36,8.0,2,0,0,2,0,LF
157,Sep 24 (1),MIN,@,CLE,L,2-8,CG,36,8.0,2,0,0,2,0,RF
159 (1),Sep 25,MIN,@,CLE,W,6-4,GS,33,8.0,3,0,0,3,0,RF
160,Sep 26,MIN,,KCR,L,3-7,GF,11,2.0,0,0,0,0,0,PH LF
161,Sep 27,MIN,,KCR,W,7-4,CG,40,9.0,2,0,1,3,0,RF
162,Sep 28,MIN,,KCR,W,1-0,CG,30,9.0,5,0,0,5,0,LF
