126 (125),Aug 22,MON,@,CHC,L,1-3,,3,0.2,0,0,0,0,0,P
128 (1),Aug 24,MON,@,CHC,L,3-12,,12,2.2,0,0,0,0,0,P
130 (1),Aug 26,MON,@,STL,W,7-5,,10,2.0,0,1,0,1,0,P
132 (1),Aug 28,MON,@,STL,L,5-11,,6,1.0,0,0,0,0,0,P
135 (2),Aug 31,MON,@,NYY,L,2-3,,5,1.0,0,0,0,0,0,P
137 (1),Sep 2,MON,,BOS,W,6-5,,9,2.0,1,0,0,1,0,P
141 (3),Sep 6,MON,,PHI,L,3-5,,4,1.0,0,0,0,0,0,P
143 (1),Sep 9,MON,,PIT,W,5-4,,3,1.0,0,0,0,0,0,P
145 (1),Sep 11,MON,@,NYM,L,5-9,,8,2.0,0,0,0,0,0,P
147 (1),Sep 13,MON,@,NYM,L,6-9,,1,0.0,0,0,0,0,0,P
148,Sep 14,MON,@,NYM,L,0-1,GF,3,1.0,0,0,0,0,0,P
149,Sep 15,MON,@,PIT,L,4-5,,1,0.0,0,0,0,0,0,P
153 (3),Sep 19,MON,@,ATL,L,1-2,GF,3,1.0,0,0,0,0,0,P
156 (2),Sep 22,MON,@,ATL,L,2-3,,11,2.1,0,0,0,0,0,P
158 (1),Sep 24,MON,,FLA,L,9-10,GF,4,1.0,0,0,0,0,0,P
160 (1),Sep 26,MON,,CIN,L,1-7,,15,4.0,0,0,0,0,0,P
