43,5,Apr 20,CHC,,PIT,L,5-6,,,99,2.0,1,0,0,1,1,0,0,0.00,8,,,,,7,,,,,0,
44,9,Apr 26,CHC,@,CIN,L,3-5,,,5,2.0,2,0,0,1,0,0,0,0.00,9,,,,,7,,,,,0,
45,15,May 5,CHC,,CIN,L,7-11,,,8,1.0,3,2,2,0,1,0,1,3.60,7,,,,,6,,,,,0,
46,28,May 15,BRO,,STL,L,6-10,,,9,8.0,10,4,4,2,2,0,1,4.15,33,,,,,28,,,,,0,
47,31,May 18,BRO,,PIT,L,2-11,,,2,4.2,6,4,4,3,1,0,0,5.09,22,,,,,18,,,,,0,
48,37,May 26,BRO,@,PHI,L,1-9,,,7,5.2,9,3,2,1,2,1,0,4.63,25,,,,,24,,,,,0,
49,41,May 30(1),BRO,@,BSN,L,3-9,,,3,2.0,5,2,2,1,1,0,0,4.97,13,,,,,11,,,,,0,
50,51,Jun 9,BRO,@,STL,L,3-8,,,9,1.0,0,0,0,0,0,0,0,4.78,3,,,,,3,,,,,0,
51,52,Jun 10,BRO,@,STL,L,3-8,,,0,2.0,3,1,1,0,0,0,0,4.76,7,,,,,7,,,,,0,
52,53,Jun 11,BRO,@,CIN,L,0-10,,,0,1.0,2,1,1,0,0,0,0,4.91,4,,,,,4,,,,,0,
