1,32 (31),Apr 30,LAD,@,SFG,W,10-3,8-8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,.00,0.000,0.12,3.00,3.00,PH
2,34 (1),May 3,LAD,@,SDP,W,4-3,9-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,.79,-0.018,-0.27,0.00,0.00,PH
3,35,May 4,LAD,@,SDP,W,7-6,6-6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,9,2.10,0.074,0.72,5.00,6.50,PH
4,46 (10),May 17,LAD,@,CIN,W,6-0,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000,9,.01,0.000,-0.36,0.00,0.00,PH 1B
5,47,May 18,LAD,@,CIN,L,0-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.375,.750,6,.52,-0.010,-0.37,3.00,3.00,1B
6,49 (1),May 21,LAD,@,TBR,W,7-3,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,.87,-0.022,-0.23,0.00,0.00,DH
7,50,May 22,LAD,@,TBR,L,1-8,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.231,.231,.462,8,.62,-0.062,-0.74,0.00,0.00,DH
8,51,May 24,LAD,@,PIT,W,10-2,GS-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.571,1,.87,0.036,0.37,5.00,6.20,LF
9,52,May 25,LAD,@,PIT,W,7-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.211,.211,.421,5,.46,-0.051,-1.02,,,1B
