60,33,May 10,NYM,@,PHI,W,13-4,8-8,,99,1.0,3,1,1,0,2,0,0,9.00,6,20,14,3,4,2,2,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.04,0.001,-0.43, 8b --- 0 out a9, 8b 3 out a8
61,35,May 12,NYM,@,MIL,L,6-9,6-7,,1,1.0,4,2,2,0,1,0,0,13.50,7,24,16,5,1,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.33,-0.034,-0.85, 6b --- 0 out d3, 7b 1-- 0 out d4
62,46,May 25,NYM,,PHI,L,3-5,7-GF,,12,2.2,1,0,0,3,2,0,0,5.79,10,42,25,5,5,5,0,0,0,0,,1,1,0,1,0,6,0,0,0,1,0,0,.83,0.024,1.02, 7t --3 1 out d1, 9t end d 2
63,49,May 28,NYM,@,FLA,W,7-3,6-8,,2,2.2,4,0,0,1,2,0,0,3.68,12,52,37,14,2,4,5,2,0,0,,0,0,0,0,0,11,0,0,0,1,0,0,.89,0.092,1.31, 6b --- 0 out a4, 8b 1-- 2 out a4
64,55,Jun 4,NYM,,SFG,L,6-7,12-GF(12),,6,0.2,2,0,0,1,1,0,0,3.38,4,18,9,1,3,0,2,2,0,0,,2,1,0,0,0,3,1,0,1,0,0,0,2.06,-0.074,0.44,12t -23 1 out tie,12t end d 1
65,57,Jun 6,NYM,@,LAD,L,5-8,6-7,,1,2.0,3,1,1,1,2,0,0,3.60,9,26,18,4,4,6,0,0,0,0,,2,2,1,0,0,8,0,0,1,1,0,0,.23,-0.017,-0.56, 6b 1-3 0 out d3, 7b 3 out d3
66,62,Jun 11,NYM,@,ARI,W,15-2,9-GF,,4,1.0,0,0,0,0,2,0,0,3.27,3,12,7,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.57, 9b --- 0 out a13, 9b end a13
67,64,Jun 14,NYM,@,PHI,W,9-3,9-GF,,2,1.0,0,0,0,0,1,0,0,3.00,3,13,11,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.07,0.004,0.57, 9b --- 0 out a6, 9b end a 6
68,66,Jun 16,NYM,,BAL,L,3-6,8-GF,,1,2.0,2,0,0,0,1,0,0,2.57,8,24,18,4,1,3,4,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.22,0.026,1.06, 8t --- 0 out d3, 9t end d 3
69,71,Jun 21,NYM,,CIN,L,5-6,6-6,,4,1.0,0,0,0,0,2,0,0,2.40,3,14,10,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.040,0.53, 6t --- 0 out d2, 6t 3 out d2
70,72,Jun 22,NYM,,CIN,W,6-2,7-7,,0,1.0,2,0,0,0,0,0,0,2.25,4,12,8,2,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.27,0.031,0.53, 7t --- 0 out a4, 7t 3 out a4
71,74,Jun 24,NYM,@,TOR,L,4-7,7-7,,1,1.0,2,1,1,1,0,1,0,2.65,6,19,11,4,0,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.16,-0.023,-0.45, 7b --- 0 out d3, 7b 3 out d4
72,76,Jun 27,NYM,@,BOS,L,4-9,5-7,,2,2.2,2,0,0,0,3,0,0,2.29,9,44,29,10,3,4,2,1,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,.07,0.012,1.47, 5b --- 1 out d6, 7b 3 out d5
73,81,Jul 2,NYM,@,NYY,L,7-16,3-5,,4,2.1,6,8,4,2,0,2,0,3.68,16,66,38,11,2,6,8,6,0,0,,1,1,0,0,0,14,1,0,0,0,0,1,.20,-0.148,-7.54, 3b -2- 2 out d3, 5b 3 out d11
74,92,Jul 16,NYM,@,CHC,W,13-7,8-8,,13,1.0,1,0,0,0,2,0,0,3.52,4,16,10,5,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.17,0.009,0.56, 8b --- 0 out a6, 8b 3 out a6
75,99,Jul 24,NYM,,CHC,L,7-8,5-7,,7,2.1,2,0,0,0,2,0,0,3.20,9,35,23,6,2,3,4,1,1,0,,2,2,1,0,0,9,0,0,0,0,0,0,.39,-0.090,-0.32, 5t -23 2 out d2, 7t 3 out d4
76,136,Sep 4,NYM,,ATL,L,0-5,5-6,,41,1.2,1,0,0,0,1,0,0,3.00,6,21,17,3,2,2,3,0,0,0,,3,0,0,0,0,6,0,0,0,0,0,0,.46,0.069,2.14, 5t 123 1 out d4, 6t 3 out d4
77,140,Sep 8,NYM,,LAD,L,0-5,7-8,,3,2.0,0,0,0,0,1,0,0,2.79,6,19,15,2,3,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.08,0.012,1.06, 7t --- 0 out d5, 8t 3 out d5
78,143,Sep 11,NYM,@,FLA,L,5-16,5-7,,2,2.1,7,5,5,0,5,2,0,4.02,13,45,32,9,8,3,5,2,0,0,,0,0,0,1,0,13,2,0,0,0,0,0,.03,-0.007,-3.41, 5b --- 0 out d6, 7b --3 1 out d10
79,146,Sep 15,NYM,@,PIT,L,3-5,5-7,,3,3.0,2,1,1,0,4,1,0,3.93,11,54,34,9,7,4,3,2,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.23,0.019,0.59, 5b --- 0 out d3, 7b 3 out d4
80,151,Sep 20,NYM,,FLA,L,3-6,9-GF,,4,1.0,0,0,0,1,0,0,0,3.82,4,28,21,3,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.009,0.53, 9t --- 0 out d3, 9t end d 3
