80,1,Apr 13,DET,,CLE,L,1-2,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
81,3 (1),Apr 17,DET,,SLB,W,5-4,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
82,5 (1),Apr 19,DET,,SLB,L,1-4,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
83,10 (4),Apr 25,DET,,CHW,L,2-4,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
84,13 (2),Apr 28,DET,,CHW,L,5-9,GS-8,3,2,1,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.500,.667,.500,1.167,9,1.15,0.061,0.29,P
85,19 (5),May 4,DET,@,CHW,L,2-4,4-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.333,.500,.333,.833,9,.50,-0.013,-0.11,P
86,24 (4),May 10,DET,@,NYY,L,9-13,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.500,.333,.833,9,,,,P
87,26 (1),May 13,DET,@,BOS,W,13-10,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.250,.400,.250,.650,9,.14,-0.004,-0.24,P
88,31 (4),May 18,DET,@,PHA,W,5-2,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,9,,,,P
89,34 (2),May 21,DET,@,WSH,L,10-13,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,8,,,,P
90,37 (2),May 24,DET,,CHW,L,4-10,6-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.200,.333,.200,.533,9,1.58,-0.041,-0.25,P
