148 (147),Sep 19 (2),CHC,@,MLN,L,5-8,GF,12,3.0,4,0,0,4,0,PR 1B
152 (3),Sep 24,CHC,,LAD,W,4-3,CG,37,9.0,13,0,0,13,0,1B
157 (4),Sep 29,CHC,@,LAD,W,4-3,CG,37,9.0,8,1,0,9,1,1B
159 (1),Oct 1,CHC,@,LAD,W,4-3,CG,37,9.0,12,1,0,13,1,1B
161 (1),Oct 3,CHC,@,SFG,W,10-7,GS,20,4.0,0,0,0,0,0,LF
162,Oct 4,CHC,@,SFG,W,9-2,GS,36,9.0,3,1,0,4,1,LF 1B
