143 (142),Sep 7,MLN,,PHI,L,3-4,GS,36,8.2,1,0,0,1,0,CF
160 (16),Sep 28,MLN,,PIT,L,2-8,CG,41,9.0,1,0,0,1,0,LF
162 (1),Sep 30,MLN,,PIT,L,3-4,CG,45,9.0,1,0,0,1,0,LF
