18,3,Apr 19(2),PHI,@,BSN,L,2-11,5-GF(8),,99,4.0,2,1,1,2,1,0,1,2.25,15,4,5,0,0,2,,0,0,0,0,0,12,0,0,0,1,0,0,.01,0.001,0.93, 5b --- 0 out d8, 8b end d 9
19,24,May 13,PHI,@,NYG,L,1-9,3-GF(8),,23,5.1,8,5,5,2,2,1,0,5.79,27,8,7,0,4,8,,2,0,0,0,0,25,0,2,0,0,0,1,.15,-0.095,-2.01, 3b 12- 2 out d3, 8b end d 8
20,36,May 29(2),PHI,,NYG,L,0-3,7-GF(7),,15,1.0,0,0,0,0,0,0,0,5.23,4,3,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,.47,0.020,0.49, 7t --- 0 out d3, 7t end d 3
21,63,Jun 22,PHI,@,PIT,L,3-12,8-GF(8),,23,1.0,0,0,0,1,0,0,1,4.76,5,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.52, 8b --- 0 out d9, 8b end d 9
22,74,Jul 4(1),PHI,@,BRO,L,1-7,7-GF(8),,11,2.0,2,2,2,2,1,1,0,5.40,10,0,5,0,0,2,,0,0,0,0,0,8,0,0,0,0,0,0,.03,-0.010,-0.94, 7b --- 0 out d5, 8b end d 7
23,77,Jul 7,PHI,@,NYG,L,3-11,7-GF(8),,2,2.0,2,3,3,1,0,1,0,6.46,9,2,4,0,2,2,,0,0,1,0,0,8,0,0,0,0,0,0,.03,-0.001,-1.98, 7b --- 0 out d5, 8b end d 8
24,90,Jul 24(1),PHI,,CIN,L,1-10,6-8,,16,3.0,5,4,4,3,1,0,0,7.36,17,3,5,1,0,5,,0,0,0,0,0,13,1,2,0,0,0,0,.10,-0.018,-2.52, 6t --- 0 out d5, 8t 3 out d9
25,92,Jul 26,PHI,@,STL,L,5-9,,,1,2.0,2,0,0,1,0,0,0,6.64,7,,,,,,,,,,,,6,,,,,0,,,,,,
26,94,Jul 28,PHI,@,STL,L,2-10,8-GF(8),,1,1.0,1,0,0,0,0,0,0,6.33,4,3,0,0,0,1,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.53, 8b --- 0 out d9, 8b end d 9
27,123,Aug 27,PHI,,PIT,L,2-8,8-GF,,29,2.0,0,0,0,0,0,0,0,5.79,6,4,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,0.99, 8t --- 0 out d7, 9t end d 6
28,124,Aug 28(1),PHI,,CHC,L,4-7,8-GF,,0,2.0,2,0,0,0,0,0,0,5.33,7,2,3,0,0,2,,0,0,0,0,0,7,0,0,0,0,0,0,.01,0.002,0.99, 8t --- 0 out d6, 9t end d 6
29,140,Sep 13,PHI,@,PIT,L,6-11,,,15,1.0,3,4,4,2,0,0,0,6.49,8,,,,,,,,,,,,5,,,,,0,,,,,,
30,144,Sep 18,PHI,@,STL,L,3-15,5-6,,4,2.0,5,5,5,3,0,0,0,7.62,14,1,5,0,0,5,,0,0,0,0,0,11,2,0,0,0,0,0,.02,-0.005,-3.94, 5b --- 0 out d8, 6b 3 out d13
