1,139 (138),Sep 22 (1),PHA,,CHW,L,0-6,CG,4,3,0,2,0,0,0,0,0,,0,1,0,,,0,0,0,.667,.750,.667,1.417,3,,,,LF
2,140,Sep 22 (2),PHA,,CHW,L,1-2,CG,4,4,0,2,1,0,0,0,0,,0,0,0,,,0,0,0,.571,.625,.714,1.339,4,,,,LF
3,141,Sep 23,PHA,,CHW,L,2-5,CG,4,4,1,0,0,0,0,0,0,,0,0,0,,,0,0,0,.364,.417,.455,.871,4,,,,LF
4,142,Sep 24,PHA,,CHW,T,3-3,CG(16),7,7,1,1,1,0,0,0,0,,0,0,0,,,0,0,0,.278,.316,.389,.705,4,,,,LF
5,143,Sep 25 (1),PHA,,CHW,L,2-4,CG,4,4,0,2,1,0,0,1,0,0,0,0,0,,0,0,0,1,.318,.348,.455,.802,4,1.38,0.036,-0.07,LF
6,144,Sep 25 (2),PHA,,CHW,L,2-5,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.296,.321,.407,.729,4,1.09,-0.075,-0.67,LF
7,145,Sep 26 (1),PHA,,SLB,L,1-3,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,.323,.344,.419,.763,4,1.10,0.047,0.50,LF
8,146,Sep 26 (2),PHA,,SLB,L,0-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.314,.333,.400,.733,4,1.63,-0.012,-0.36,LF
9,147,Sep 27 (1),PHA,,SLB,W,9-4,CG,5,4,2,2,0,0,0,1,1,,0,0,0,,,0,0,0,.333,.366,.410,.776,4,,,,LF
10,148,Sep 27 (2),PHA,,SLB,L,6-7,CG,4,3,1,0,0,0,0,0,1,,0,0,0,,,0,0,0,.310,.356,.381,.737,4,,,,LF
11,149,Sep 28,PHA,,SLB,W,8-3,CG,5,5,3,3,0,0,1,3,0,0,0,0,0,,1,0,0,0,.340,.380,.468,.848,4,.43,0.172,2.70,LF
12,150,Sep 29 (1),PHA,,DET,W,8-2,CG,4,3,1,2,1,0,0,1,1,,0,0,0,,,0,0,1,.360,.407,.500,.907,4,,,,LF
13,151,Sep 29 (2),PHA,,DET,L,1-9,CG,4,4,1,2,0,1,0,0,0,,0,0,0,,,0,0,0,.370,.414,.537,.951,4,,,,LF
14,152,Sep 30,PHA,,DET,L,0-6,CG,4,3,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,.368,.419,.526,.946,4,.81,0.057,0.37,LF
15,153,Oct 2 (1),PHA,,CLE,L,3-8,CG,5,5,1,2,0,1,0,0,0,0,1,0,0,,0,0,0,0,.371,.418,.548,.966,4,.12,0.008,0.91,LF
16,154,Oct 2 (2),PHA,,CLE,L,2-6,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,.369,.423,.538,.961,4,.48,0.010,0.14,LF
17,155,Oct 3,PHA,,CLE,L,4-8,CG(11),5,5,0,2,0,0,0,2,0,0,0,0,0,,0,0,0,0,.371,.421,.529,.950,4,2.17,0.160,1.42,LF
