4,132 (131),Sep 11,CIN,,CHC,L,0-2,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,8,P
5,134 (1),Sep 13,CIN,,PIT,L,4-5,GS-0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,,.000,.000,.000,.000,9,P
6,140 (5),Sep 17 (1),CIN,,PHI,L,0-6,CG,3,2,0,0,0,0,0,0,1,,1,0,0,,,,0,,.000,.250,.000,.250,9,P
7,148 (7),Sep 22,CIN,,BRO,W,5-3,CG,3,2,0,0,0,0,0,1,0,0,0,0,1,,,,0,,.000,.167,.000,.167,9,P
8,152 (3),Sep 27,CIN,,BSN,W,8-4,0-GF,3,3,0,0,0,0,0,0,0,0,2,0,0,,,,0,,.000,.111,.000,.111,9,P
9,158 (5),Oct 9 (2),CIN,,STL,L,2-6,CG,4,3,0,0,0,0,0,0,0,0,0,1,0,,,,0,,.000,.154,.000,.154,9,P
10,159,Oct 12,CIN,,CHC,W,4-3,0-GF,2,1,1,1,0,0,0,0,1,,0,0,0,,,,0,,.083,.267,.083,.350,1,P
