254,34 (33),May 27,CIN,,STL,W,4-2,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.333,.333,.333,.667,8,.55,-0.006,0.44,C
255,35,May 28,CIN,,CHC,L,3-13,CG,4,4,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0,.143,.143,.143,.286,8,.54,-0.059,-1.04,C
256,36,May 29,CIN,,CHC,L,6-10,GS-4,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.250,.250,.250,.500,8,.94,0.039,0.40,C
257,37,May 30 (1),CIN,,CHC,W,7-1,CG,3,2,2,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.300,.364,.300,.664,8,.40,0.032,0.44,C
258,38,May 30 (2),CIN,,CHC,W,4-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.231,.333,.231,.564,8,.88,-0.033,-0.09,C
259,43 (4),Jun 4,CIN,,BSN,W,7-6,7-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.214,.313,.214,.527,8,1.91,-0.051,-0.26,C
