94,1,Apr 14,DET,,SLB,W,3-2,CG(13),6,4,1,0,0,0,0,0,2,,0,0,0,,,,0,,.000,.333,.000,.333,2,2B
95,2,Apr 16,DET,,SLB,L,5-8,CG,5,4,0,0,0,0,0,0,0,,1,0,1,,,,0,,.000,.200,.000,.200,2,2B
96,3,Apr 17,DET,,SLB,L,1-2,GS-0,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.154,.000,.154,2,2B
