1,3,Apr 15,BSN,@,BRO,L,2-3,CG(8),L(0-1),99,8.0,7,3,3,5,5,0,0,3.38,32,56,1,1,0,25,1,1,0,1,1,0
2,6,Apr 19,BSN,@,NYG,W,9-8,4-GF(10),W(1-1),3,7.0,4,3,3,2,0,1,0,3.60,25,,0,1,0,23,1,0,0,1,0,0
3,8,Apr 26,BSN,,BRO,W,4-0,SHO,W(2-1),6,9.0,2,0,0,5,1,0,0,2.25,35,79,0,0,0,30,0,0,0,0,0,1
4,11,Apr 29(2),BSN,@,NYG,L,8-12,GS-4,L(2-2),2,3.1,6,8,5,3,2,0,0,3.62,20,21,0,0,0,17,1,2,0,0,0,1
5,15,May 3,BSN,@,PIT,W,5-4,CG(11),W(3-2),3,11.0,12,4,2,3,3,0,0,3.05,46,61,0,1,0,41,2,0,0,3,2,2
6,19,May 8,BSN,@,CIN,L,2-7,GS-6,L(3-3),4,6.0,6,5,5,8,1,1,0,3.65,30,33,0,2,0,21,0,0,0,0,0,0
7,23,May 12,BSN,@,STL,L,3-5,GS-1,L(3-4),3,0.2,1,4,4,3,1,0,1,4.40,7,32,1,0,0,3,1,0,0,0,0,0
8,28,May 18,BSN,@,CHC,L,1-3,GS-,L(3-5),5,7.0,8,3,3,4,0,1,0,4.33,33,45,,,,28,,,,,0,
9,31,May 22,BSN,,PHI,W,3-1,CG,W(4-5),3,9.0,3,1,1,3,2,1,0,3.84,32,76,,,,29,0,0,,,0,
10,34,May 27(1),BSN,@,BRO,W,4-1,CG,W(5-5),4,9.0,8,1,1,5,6,0,0,3.47,39,68,0,1,0,34,3,0,0,0,0,0
11,40,Jun 1,BSN,,CIN,L,6-7,GS-4,,4,3.1,7,3,3,3,2,0,0,3.68,19,33,0,0,0,15,1,0,0,1,1,0
12,44,Jun 8,BSN,,PIT,W,9-5,CG,W(6-5),6,9.0,7,5,3,1,5,3,0,3.61,35,61,0,0,0,34,2,0,0,1,0,1
13,49,Jun 13,BSN,,STL,L,8-11,GS-7,L(6-6),4,7.0,7,6,6,4,2,4,0,3.93,29,37,0,1,0,25,0,0,0,1,0,0
14,52,Jun 16,BSN,,CHC,L,0-7,CG,L(6-7),2,9.0,7,7,6,7,6,0,2,4.12,45,46,0,0,0,31,2,0,0,1,3,3
15,57,Jun 23(1),BSN,,BRO,L,2-6,GS-7,L(6-8),6,7.0,7,4,4,6,4,1,0,4.19,32,45,0,1,0,25,2,0,0,1,1,0
16,61,Jun 26(2),BSN,,BRO,L,5-6,8-9,HL(6-9),2,1.0,2,3,3,1,1,0,0,4.40,6,,0,0,0,5,2,0,0,0,0,0
17,63,Jun 30(2),BSN,@,NYG,L,5-12,GS-4,,3,3.0,4,4,4,2,0,0,0,4.61,14,33,0,0,0,11,0,0,0,1,1,0
18,67,Jul 3(1),BSN,,PHI,L,5-6,GS-7,,2,7.0,11,4,4,2,6,1,0,4.64,32,43,0,2,0,30,2,0,0,0,0,0
19,73,Jul 9,BSN,@,STL,L,5-8,GS-5,L(6-10),5,4.1,6,5,5,3,2,1,0,4.85,21,30,0,0,0,18,1,0,0,2,0,1
20,77,Jul 14,BSN,@,PIT,L,0-10,GS-6,L(6-11),4,6.0,11,5,3,3,1,0,0,4.83,31,32,2,2,0,26,1,0,0,0,1,1
21,80,Jul 18,BSN,@,PIT,L,3-16,1-5,,3,4.0,10,7,7,1,1,0,1,5.17,23,,0,0,0,21,4,1,0,1,0,0
22,85,Jul 25,BSN,,CHC,W,3-1,CG,W(7-11),6,9.0,7,1,1,1,4,1,0,4.90,34,72,0,0,0,32,1,0,1,1,0,0
23,88,Jul 30(1),BSN,,PIT,L,1-2,GS-8,L(7-12),4,8.0,4,2,2,4,3,0,0,4.75,32,65,0,0,0,28,0,0,0,0,0,0
24,93,Aug 4(1),BSN,,STL,L,2-3,CG(10),L(7-13),4,10.0,4,3,3,4,9,0,1,4.62,38,77,1,0,1,32,0,1,0,1,0,0
25,97,Aug 10,BSN,@,BRO,L,1-5,GS-7,L(7-14),5,7.0,6,4,2,5,2,1,0,4.54,30,50,1,1,1,24,0,0,0,1,1,1
26,102,Aug 16,BSN,@,STL,W,9-4,CG,W(8-14),5,9.0,7,4,2,2,3,1,0,4.40,35,62,0,0,0,32,1,0,0,1,1,0
27,107,Aug 21,BSN,@,PIT,L,2-6,CG(8),L(8-15),4,8.0,11,6,6,3,2,0,1,4.51,40,35,0,0,1,35,2,1,0,0,1,1
28,111,Aug 25,BSN,@,CHC,L,3-7,GS-5,L(8-16),3,4.1,8,7,7,1,2,3,0,4.74,22,20,0,0,0,21,0,1,0,0,0,0
29,114,Aug 28(2),BSN,@,NYG,W,7-5,GS-5,,2,5.0,9,3,2,2,1,0,0,4.71,27,38,2,0,0,25,1,0,0,0,0,2
30,120,Sep 1(2),BSN,,PHI,L,1-7,GS-,L(8-17),3,4.1,4,4,4,6,1,0,0,4.79,23,34,,,,16,,,,,0,
31,124,Sep 5(1),BSN,,BRO,W,9-2,CG,W(9-17),3,9.0,13,2,2,2,5,0,0,4.67,40,56,1,0,0,37,4,2,0,1,0,0
32,128,Sep 8(1),BSN,@,PHI,L,6-10,,,2,0.0,1,1,0,0,0,0,0,4.67,1,,,,,1,,,,,0,
33,129,Sep 8(2),BSN,@,PHI,L,0-4,,,-1,2.0,1,0,0,1,0,0,0,4.62,7,,,,,5,,,,,0,
34,134,Sep 13(1),BSN,,NYG,L,2-12,GS-6,L(9-18),4,5.0,9,9,9,3,3,2,1,4.90,28,13,1,0,0,24,1,0,0,0,0,0
35,139,Sep 15(2),BSN,,CHC,L,1-6,GS-1,L(9-19),1,0.0,3,3,3,0,0,0,0,5.03,4,32,0,0,0,3,0,0,0,0,0,0
36,145,Sep 21(2),BSN,,CIN,L,2-3,GS-,L(9-20),5,8.0,5,3,3,2,2,0,0,4.97,30,60,,,,27,,,,,0,
37,151,Sep 27,BSN,,STL,L,3-8,GS-1,L(9-21),5,0.1,3,5,5,2,0,0,0,5.16,6,23,0,0,0,4,1,0,0,0,0,0
38,153,Sep 29,BSN,,STL,L,1-3,3-7,,1,5.0,3,0,0,2,2,0,0,5.05,18,,0,1,1,15,0,0,0,0,0,0
