336,67,Jun 17,TBR,@,WSN,W,5-0,8-GF,,99,2.0,0,0,0,1,0,0,0,0.00,7,31,18,3,2,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.19,0.020,0.95,4.50,2.00, 8b --- 0 out a5, 9b end a 5
337,70,Jun 20,TBR,@,CLE,W,4-1,5-6,,2,2.0,1,0,0,0,2,0,0,0.00,7,25,15,3,4,4,1,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.72,0.080,1.04,7.30,4.00, 5b --- 0 out a4, 6b 3 out a4
338,72,Jun 22,TBR,,TOR,L,5-8,6-6,,1,0.2,3,3,3,1,1,0,0,5.79,6,34,22,6,1,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.05,-0.268,-2.76,-6.10,-1.33, 6t --- 1 out d1, 6t 3 out d4
339,77,Jun 28,TBR,,BOS,L,3-5,8-8,,5,1.0,1,0,0,0,0,0,0,4.76,4,15,11,3,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.37,0.025,0.47,1.05,1.00, 8t --- 0 out d2, 8t 3 out d2
340,78,Jun 29,TBR,,CLE,L,1-7,9-GF,,0,1.0,3,4,4,2,1,0,0,9.45,8,28,14,2,3,4,1,1,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,.20,-0.066,-3.53,-7.35,-2.00, 9t --- 0 out d2, 9t end d 6
341,79,Jun 30,TBR,,CLE,L,2-6,8-GF,,0,1.1,0,0,0,0,2,0,0,7.88,4,20,14,5,2,2,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.04,0.004,0.68,7.00,3.33, 8t 1-- 2 out d6, 9t end d 4
