1,Apr 15,OAK,,MIN,W,4-3,CG,41,11.0,3,0,1,4,0,CF
2,Apr 16,OAK,,MIN,L,2-3,CG,35,9.0,5,0,0,5,0,CF
3,Apr 18,OAK,,KCR,W,3-2,CG,35,9.0,5,0,0,5,0,CF
4,Apr 19 (1),OAK,,KCR,W,4-0,CG,31,9.0,6,0,0,6,0,CF
5,Apr 19 (2),OAK,,KCR,W,3-1,CG,36,9.0,3,0,0,3,0,CF
6,Apr 23,OAK,@,MIN,L,4-8,CG,37,8.0,2,0,0,2,0,CF
7,Apr 25,OAK,@,NYY,W,4-3,CG,48,12.0,5,0,0,5,0,CF
8,Apr 26,OAK,@,NYY,L,2-4,CG,37,8.0,4,0,0,4,0,CF
9,Apr 28,OAK,@,MIL,W,5-1,CG,32,9.0,3,0,0,3,0,CF
10,Apr 29,OAK,@,MIL,W,2-1,CG,33,9.0,3,0,1,4,0,CF
11,Apr 30,OAK,@,MIL,L,1-3,CG,34,8.0,1,0,1,2,0,CF
