31 (30),May 26 (2),CHC,,STL,W,3-2,GF,0,3.0,3,0,0,3,0,
32,May 27,CHC,@,MLN,L,4-9,GS,24,5.0,0,0,0,0,0,RF
33,May 29,CHC,@,CIN,L,3-6,CG,38,8.0,4,1,0,5,1,RF
