274,2 (1),Apr 11,PBS,@,KCP,L,2-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
275,3,Apr 12,PBS,@,KCP,L,0-3,0-GF,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,1,PH LF
276,4,Apr 13,PBS,@,CHI,L,5-6,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,.000,.000,.000,.000,9,PR
277,5,Apr 15,PBS,@,CHI,W,3-1,CG,5,5,0,1,0,0,0,0,0,,1,0,0,,,,0,,.125,.125,.125,.250,1,LF
278,6,Apr 16,PBS,@,CHI,L,3-4,CG,4,3,0,1,0,0,0,0,1,,1,0,0,,,,0,,.182,.250,.182,.432,1,LF
279,7,Apr 17,PBS,,KCP,W,4-1,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.133,.188,.133,.321,1,LF
280,8,Apr 19,PBS,,KCP,L,2-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.158,.200,.158,.358,1,LF
281,10 (1),Apr 21,PBS,,KCP,W,5-4,0-GF,1,1,0,1,0,0,0,2,0,,0,0,0,,,,0,,.200,.238,.200,.438,1,LF
282,14 (3),Apr 27,PBS,,SLM,L,2-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.190,.227,.190,.418,1,PH
283,32 (17),May 21,PBS,,BAL,W,3-2,CG,4,4,0,1,1,0,0,0,0,,0,0,0,,,,0,,.200,.231,.240,.471,1,LF
284,33,May 25 (1),PBS,,BTT,L,2-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.207,.233,.241,.475,1,LF
285,34,May 25 (2),PBS,,BTT,W,5-4,CG,5,5,1,2,0,0,0,1,0,,0,0,0,,,,0,,.235,.257,.265,.522,1,LF
286,35,May 26,PBS,,BTT,L,3-6,CG,4,3,0,1,0,0,0,0,0,,0,0,1,,,,0,,.243,.263,.270,.533,1,LF
287,36,May 27,PBS,,BUF,L,6-9,CG,5,5,1,1,0,0,0,0,0,,3,0,0,,,,0,,.238,.256,.262,.518,1,LF
