3 (2),Apr 12,PBS,@,KCP,L,0-3,GF,0,3.0,1,0,0,1,0,
5 (1),Apr 15,PBS,@,CHI,W,3-1,CG,0,9.0,3,0,0,3,0,
6,Apr 16,PBS,@,CHI,L,3-4,CG,0,8.0,2,0,0,2,0,
7,Apr 17,PBS,,KCP,W,4-1,CG,0,9.0,3,0,0,3,0,
8,Apr 19,PBS,,KCP,L,2-4,CG,0,9.0,2,2,0,4,0,
10 (1),Apr 21,PBS,,KCP,W,5-4,GF,0,2.0,1,0,0,1,0,
32 (21),May 21,PBS,,BAL,W,3-2,CG,0,9.0,1,0,0,1,0,
33,May 25 (1),PBS,,BTT,L,2-4,CG,0,9.0,1,0,0,1,0,
34,May 25 (2),PBS,,BTT,W,5-4,CG,0,9.0,2,0,0,2,0,
35,May 26,PBS,,BTT,L,3-6,CG,0,9.0,3,0,0,3,0,
36,May 27,PBS,,BUF,L,6-9,CG,0,9.0,1,0,0,1,0,
