1,97 (96),Aug 5 (1),PHA,,DET,L,5-11,0-0,1,0,0,0,0,0,0,0,0,,0,1,0,,,,0,,,1.000,,,9,PH
2,101 (3),Aug 9,PHA,,CHW,L,4-8,CG,5,4,1,0,0,0,0,0,1,,1,0,0,,,,0,,.000,.333,.000,.333,3,LF
3,140 (38),Sep 20 (2),PHA,,CLE,L,3-5,CG,4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.000,.200,.000,.200,6,LF
4,141,Sep 21,PHA,,DET,L,5-7,CG,5,4,1,1,0,0,0,0,1,,1,0,0,,,,1,,.083,.267,.083,.350,3,LF
5,142,Sep 22,PHA,,DET,L,9-13,CG,5,5,2,1,0,0,1,,0,,0,0,0,,,,0,,.118,.250,.294,.544,3,LF
6,143,Sep 23,PHA,,DET,L,5-6,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.111,.238,.278,.516,8,PH
7,144,Sep 24 (1),PHA,,CHW,L,5-7,0-GF,1,1,1,1,0,0,0,0,0,,0,0,0,,,,0,,.158,.273,.316,.589,8,PH
8,145,Sep 24 (2),PHA,,CHW,L,5-12,0-GF,3,3,0,1,0,1,0,0,0,,1,0,0,,,,0,,.182,.280,.409,.689,1,CF
9,146,Sep 25 (1),PHA,,CHW,L,1-8,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.154,.241,.346,.588,3,CF
10,147,Sep 25 (2),PHA,,CHW,L,3-5,CG,5,5,0,0,0,0,0,0,0,,1,0,0,,,,0,,.129,.206,.290,.496,1,CF
11,148,Sep 27,PHA,,CHW,L,5-6,CG,5,5,1,1,1,0,0,0,0,,0,0,0,,,,0,,.139,.205,.306,.511,3,CF
