42 (41),May 17,TBR,@,LAA,W,7-1,CG,34,9.0,0,0,0,0,0,3B
43,May 18,TBR,@,LAA,W,8-3,CG,38,9.0,0,0,0,0,0,3B
44,May 19,TBR,@,LAA,W,5-3,GS,20,6.0,3,1,0,4,1,2B
46 (1),May 22,TBR,,BOS,L,2-4,CG,36,9.0,0,1,0,1,0,3B
47,May 23,TBR,,BOS,L,1-4,GS,25,7.0,1,3,0,4,2,2B
51 (3),May 27,TBR,,BAL,W,8-3,CG,39,9.0,0,4,0,4,0,3B
54 (2),May 30,TBR,@,OAK,W,6-0,CG,30,9.0,0,3,0,3,0,2B
55,May 31,TBR,@,OAK,L,3-7,CG,38,8.0,0,3,1,4,0,3B
57 (1),Jun 2,TBR,@,SEA,L,1-3,CG,36,8.0,3,2,0,5,2,2B
62 (4),Jun 8,TBR,,SEA,L,3-4,CG,38,9.0,3,2,0,5,0,2B
63,Jun 9,TBR,,SEA,W,7-3,CG,40,9.0,1,1,0,2,0,3B
64,Jun 10,TBR,,SEA,L,4-5,CG,34,9.0,1,4,0,5,1,2B
66 (1),Jun 12,TBR,,TOR,W,4-1,GS,24,6.0,1,2,0,3,0,2B
67,Jun 13,TBR,,TOR,W,1-0,GS,25,6.0,3,1,0,4,1,2B
69 (1),Jun 15,TBR,@,NYY,L,0-5,CG,34,8.0,0,2,0,2,0,3B
