1,140 (139),Sep 14,CLE,@,DET,L,8-9,CG,5,4,2,1,0,0,0,1,1,,0,0,0,,,,0,,.250,.400,.250,.650,2,LF
2,141,Sep 15,CLE,,WSH,W,3-0,CG,3,1,1,0,0,0,0,,1,,1,0,1,,,,0,,.200,.429,.200,.629,2,LF
3,142,Sep 16,CLE,,WSH,W,6-5,CG,5,5,0,2,0,0,0,,0,,1,0,0,,,,0,,.300,.417,.300,.717,2,LF
4,143,Sep 17,CLE,,WSH,W,7-2,CG,4,3,2,2,0,0,0,,0,,1,0,1,,,,1,,.385,.467,.385,.851,2,LF
5,144,Sep 19,CLE,,PHA,W,5-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.353,.421,.353,.774,2,LF
6,145,Sep 20,CLE,,PHA,L,3-6,GS-0,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.286,.348,.286,.634,2,LF
7,146,Sep 21,CLE,,PHA,T,0-0,CG(11),5,5,0,0,0,0,0,0,0,,2,0,0,,,,0,,.231,.286,.231,.516,2,LF
8,147,Sep 22,CLE,,NYY,L,1-2,CG,4,4,1,1,1,0,0,0,0,,1,0,0,,,,2,,.233,.281,.267,.548,2,LF
9,148,Sep 23,CLE,,NYY,W,7-2,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,1,,.235,.278,.265,.542,2,LF
10,149,Sep 26,CLE,,BOS,T,5-5,GS-0,4,2,0,0,0,0,0,0,0,,0,1,1,,,,0,,.222,.282,.250,.532,2,LF
11,150,Sep 27 (1),CLE,,BOS,W,5-3,CG,4,3,0,0,0,0,0,0,1,,1,0,0,,,,1,,.205,.279,.231,.510,2,LF
12,151,Sep 27 (2),CLE,,BOS,W,7-5,CG(7),4,4,0,0,0,0,0,0,0,,2,0,0,,,,0,,.186,.255,.209,.465,2,LF
13,152,Sep 28,CLE,,BOS,W,4-3,0-0,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.182,.250,.205,.455,9,PH
