140 (139),Sep 14,CLE,@,DET,L,8-9,CG,0,8.0,2,0,0,2,0,
141,Sep 15,CLE,,WSH,W,3-0,CG,0,9.0,1,0,0,1,0,
142,Sep 16,CLE,,WSH,W,6-5,CG,0,9.0,2,0,0,2,0,
143,Sep 17,CLE,,WSH,W,7-2,CG,0,9.0,6,0,0,6,0,
144,Sep 19,CLE,,PHA,W,5-4,CG,0,9.0,1,0,0,1,0,
145,Sep 20,CLE,,PHA,L,3-6,CG,0,9.0,1,0,0,1,0,
146,Sep 21,CLE,,PHA,T,0-0,CG,0,11.0,3,0,0,3,0,
147,Sep 22,CLE,,NYY,L,1-2,CG,0,9.0,2,0,0,2,0,
148,Sep 23,CLE,,NYY,W,7-2,CG,0,9.0,5,0,0,5,0,
149,Sep 26,CLE,,BOS,T,5-5,CG,0,9.0,2,0,0,2,0,
150,Sep 27 (1),CLE,,BOS,W,5-3,CG,0,9.0,2,0,0,2,0,
151,Sep 27 (2),CLE,,BOS,W,7-5,CG,0,7.0,1,0,0,1,0,
