147 (146),Sep 14,SDP,,SFG,L,6-7,CG,43,9.0,3,3,1,7,0,SS
148,Sep 15,SDP,,SFG,L,1-2,CG,36,9.0,2,4,0,6,0,SS
149,Sep 18,SDP,@,HOU,W,4-1,CG,33,9.0,1,10,0,11,1,SS
150,Sep 19 (1),SDP,@,HOU,L,2-3,CG,36,8.1,0,8,0,8,2,SS
151,Sep 19 (2),SDP,@,HOU,L,2-3,CG,35,8.0,1,3,1,5,0,SS
152,Sep 21,SDP,@,CIN,L,1-9,CG,45,8.0,4,1,0,5,1,SS
153,Sep 22,SDP,@,CIN,L,3-4,CG,33,8.0,0,4,0,4,0,SS
154,Sep 24,SDP,@,ATL,W,6-4,CG,37,9.0,2,3,0,5,0,SS
155,Sep 25,SDP,@,ATL,L,8-11,CG,46,8.0,2,3,1,6,1,SS
156,Sep 26,SDP,@,ATL,L,4-10,CG,43,8.0,1,5,0,6,1,SS
157,Sep 27,SDP,,CIN,W,5-3,CG,40,9.0,3,3,0,6,0,SS
158,Sep 28,SDP,,CIN,L,4-5,CG,42,9.0,2,3,0,5,1,SS
159,Sep 29,SDP,,CIN,W,6-1,CG,29,9.0,2,3,0,5,1,SS
