153,2,Apr 10,CLE,@,BOS,W,19-9,8-GF,,99,2.0,4,3,3,1,0,0,0,13.50,11,2,5,1,0,3,,3,3,0,0,0,10,1,0,0,0,0,0,.06,0.001,-3.00, 8b 123 0 out a13, 9b end a10
154,5,Apr 16,CLE,,BOS,L,4-8,5-7,,5,2.1,5,4,4,0,2,2,0,14.54,12,3,2,0,0,5,,3,0,0,0,0,11,0,0,0,0,0,0,.32,-0.062,-2.27, 5t 123 2 out d4, 7t 3 out d7
155,8,Apr 18,CLE,@,BAL,L,3-4,6-7,,1,1.0,1,0,0,1,1,0,0,11.81,5,0,2,0,0,1,,0,0,1,0,0,4,0,0,0,0,0,0,.54,0.013,0.10, 6b --- 0 out d2, 7b 1-- 0 out d2
156,10,Apr 20,CLE,@,BAL,L,2-7,8-GF(8),,1,1.0,0,0,0,0,0,0,0,9.95,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.48, 8b --- 0 out d5, 8b end d 5
157,11,Apr 23,CLE,,NYY,L,3-9,7-GF,,2,3.0,4,2,0,1,2,0,0,6.75,15,3,5,0,0,4,,0,0,0,0,0,14,2,0,0,0,0,1,.15,-0.013,-0.54, 7t --- 0 out d4, 9t end d 6
158,13,Apr 24(2),CLE,,NYY,L,1-7,8-8,,0,0.1,0,0,0,1,0,0,0,6.52,2,1,0,0,0,0,,1,0,0,0,0,1,0,0,1,0,0,0,.18,0.004,0.24, 8t -2- 1 out d4, 8t 12- 2 out d4
159,16,Apr 29,CLE,@,MIL,L,5-6,4-7,,4,3.0,3,1,1,0,0,1,0,5.68,12,3,6,0,0,3,,1,0,1,0,0,12,0,0,0,0,0,0,.44,-0.014,0.61, 4b -2- 2 out d4, 7b 1-- 2 out d2
160,19,May 1(2),CLE,@,MIL,W,8-5,6-9,,1,3.0,2,2,1,0,3,0,1,5.17,12,2,4,0,0,2,,0,0,0,0,0,11,0,0,0,0,0,0,.28,0.029,0.52, 6b --- 0 out a5, 9b 12- 0 out a5
161,24,May 8,CLE,,CHW,L,3-8,5-7,,6,2.1,4,1,0,0,0,0,0,4.50,12,2,6,1,2,4,,2,1,0,0,0,12,1,0,0,0,0,1,.41,-0.070,-0.54, 5t 1-3 2 out d3, 7t 3 out d4
162,28,May 13,CLE,@,CHW,L,3-5,7-8,,4,0.2,2,0,0,0,0,0,0,4.34,4,1,1,0,0,2,,1,0,0,0,0,4,0,0,0,0,0,0,.23,-0.013,-0.45, 7b 1-- 2 out d3, 8b 1-3 1 out d2
163,29,May 14,CLE,@,CHW,L,2-18,6-7,,0,2.0,4,3,3,2,1,0,0,5.23,12,2,3,0,1,4,,0,0,0,0,0,10,1,1,0,0,0,0,.00,-0.001,-1.99, 6b --- 0 out d9, 7b 3 out d12
164,34,May 21,CLE,@,KCR,W,12-7,9-9,,6,0.0,1,1,1,0,0,0,0,5.66,1,0,0,0,0,1,,2,1,0,0,0,1,0,0,0,0,0,0,1.67,-0.056,-1.06, 9b 12- 2 out a3, 9b 1-3 2 out a2
165,42,May 31,CLE,,CAL,L,6-7,5-5,,9,1.0,0,0,0,0,0,0,0,5.40,2,1,1,0,0,0,,2,1,0,1,0,1,0,0,0,0,1,0,1.12,0.053,0.83, 5t 1-3 0 out d1, 5t 3 out d2
166,54,Jun 14,CLE,,TEX,L,2-7,8-GF,,13,2.0,2,0,0,0,1,0,0,4.94,8,3,2,0,0,2,,0,0,0,0,0,8,0,0,0,0,0,0,.02,0.002,0.97, 8t --- 0 out d7, 9t end d 5
167,68,Jun 27,CLE,,BAL,L,2-9,9-GF,,12,1.0,2,1,1,1,1,0,0,5.11,6,0,2,0,0,2,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,-0.51, 9t --- 0 out d8, 9t end d 9
168,72,Jul 1,CLE,,KCR,L,2-12,8-8,,3,1.0,0,0,0,0,0,0,0,4.91,3,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.49, 8t --- 0 out d9, 8t 3 out d9
169,77,Jul 7,CLE,@,NYY,L,2-8,8-GF(8),,5,1.0,0,0,0,0,1,0,0,4.72,3,1,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,1.50, 8b 12- 0 out d6, 8b end d 6
170,85,Jul 15(1),CLE,@,TEX,L,3-8,7-GF(8),,7,2.0,1,0,0,0,2,0,0,4.40,7,3,1,0,0,1,,0,0,1,0,0,7,1,0,0,0,0,0,.05,0.005,1.03, 7b --- 0 out d5, 8b end d 5
171,86,Jul 15(2),CLE,@,TEX,L,1-8,7-GF(8),,-1,2.0,2,2,2,1,1,1,0,4.70,9,3,2,0,0,2,,0,0,0,0,0,7,1,0,0,0,0,0,.04,-0.001,-0.98, 7b --- 0 out d5, 8b end d 7
172,89,Jul 21(1),CLE,@,BOS,L,4-11,7-GF(8),,5,1.1,3,1,1,0,0,1,0,4.78,7,0,4,0,0,3,,2,2,0,0,0,7,0,0,0,0,0,0,.01,-0.014,-1.88, 7b 1-3 2 out d5, 8b end d 8
173,144,Sep 11,CLE,@,BAL,L,5-9,4-5,,51,2.0,5,3,3,0,0,1,0,5.29,11,6,1,0,0,4,,0,0,0,0,0,10,2,0,0,0,1,0,.06,-0.032,-2.05, 4b --- 0 out d6, 5b 3 out d7
