82 (81),Jul 6,BOS,,OAK,L,0-6,CG,41,9.0,8,0,0,8,1,1B
83,Jul 7,BOS,,OAK,W,5-2,CG,35,9.0,12,0,0,12,1,1B
86 (2),Jul 10,BOS,,KCR,W,1-0,GF,3,1.0,0,0,0,0,0,PR 1B
87,Jul 11,BOS,,KCR,W,15-9,GF,8,2.0,2,0,1,3,0,PR 1B
88,Jul 12,BOS,,KCR,W,6-0,CG,30,9.0,13,0,0,13,1,1B
