1,1,Apr 12,STL,@,CHC,T,10-10,11-11,,99,0.0,0,0,0,1,0,0,0,---,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,3.18,-0.009,-0.22,11b -2- 1 out tie,11b 12- 1 out tie
2,3,Apr 14,STL,@,CHC,L,3-7,8-GF(8),,1,1.0,0,0,0,0,1,0,0,0.00,3,1,1,0,0,0,,2,1,2,0,0,3,0,0,0,0,0,0,.03,-0.001,0.43, 8b 12- 0 out d5, 8b end d 6
3,6,Apr 18,STL,,CIN,L,2-8,7-7,,3,1.0,1,0,0,1,2,0,0,0.00,5,1,0,0,0,1,,2,2,0,0,0,4,0,0,1,0,0,0,.18,-0.005,-0.03, 7t -23 0 out d5, 7t 3 out d7
4,7,Apr 19,STL,,CHC,L,3-7,6-8,,0,3.0,2,1,1,0,1,1,0,1.80,11,4,5,1,0,1,,0,0,0,0,0,10,0,0,0,0,0,0,.20,0.012,0.46, 6t --- 0 out d4, 8t 3 out d5
5,10,Apr 24,STL,@,CIN,L,3-6,6-6,,4,0.0,1,1,1,1,0,0,0,3.60,2,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,.59,-0.068,-1.34, 6b --- 0 out d2, 6b 1-3 0 out d2
6,19,May 4,STL,,SFG,L,2-9,8-GF,,9,2.0,2,0,0,1,0,0,0,2.57,7,2,2,0,0,2,,0,0,0,0,0,6,0,0,0,1,0,0,.02,0.001,0.98, 8t --- 0 out d7, 9t end d 7
7,22,May 8,STL,@,PHI,L,8-9,7-7,,3,0.2,0,0,0,0,1,0,0,2.35,2,1,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,.05,0.002,0.47, 7b 1-- 1 out d5, 7b 3 out d5
8,33,May 19,STL,,PHI,W,7-6,5-7,,10,2.2,4,1,1,0,0,1,0,2.61,11,5,2,0,0,4,,2,2,0,0,0,11,1,0,0,0,0,0,.83,-0.203,-1.13, 5t 12- 1 out d1, 7t 3 out d2
9,48,Jun 3,STL,,LAD,L,10-11,4-5,,14,2.0,3,1,1,0,2,0,0,2.92,9,2,2,0,1,3,,2,2,0,0,0,9,0,0,0,0,0,0,1.61,-0.066,-0.68, 4t 1-3 0 out a3, 5t 3 out tie
10,59,Jun 14,STL,,PIT,W,5-2,GS-5,,10,4.1,7,2,2,0,5,1,1,3.24,20,4,4,0,0,6,46,,,0,0,0,19,0,0,0,0,0,0,1.01,-0.138,-0.74, 1t start tie, 5t 1-3 1 out tie
11,71,Jun 26,STL,,CHC,W,8-1,GS-3,,11,2.1,2,1,1,4,3,0,0,3.32,12,2,1,0,0,2,48,,,0,0,0,8,0,0,0,0,0,0,1.34,-0.038,-0.21, 1t start tie, 3t -2- 1 out tie
12,129,Aug 25,STL,,CHC,L,3-6,8-GF,,59,2.0,2,0,0,0,0,0,0,3.00,6,3,1,0,0,2,,0,0,0,0,0,6,0,0,0,2,0,0,.13,0.011,0.98, 8t --- 0 out d4, 9t end d 4
13,132,Aug 28,STL,@,CIN,L,2-8,7-GF(8),,2,2.0,2,0,0,0,3,0,0,2.74,8,3,0,0,0,2,,0,0,0,0,0,8,1,0,0,0,0,0,.01,0.002,0.96, 7b --- 0 out d6, 8b end d 6
14,156,Sep 27,STL,@,SFG,L,4-8,5-5,,29,1.0,1,0,0,0,2,0,0,2.62,4,1,0,0,0,1,,0,0,0,0,0,4,1,0,0,0,0,0,.20,0.006,0.46, 5b --- 0 out d5, 5b 3 out d5
15,160,Oct 1,STL,@,HOU,L,2-4,8-GF(8),,3,1.0,0,0,0,0,1,0,0,2.52,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.41, 8b --- 0 out d2, 8b end d 2
