1,136 (135),Sep 9,CHC,,PHI,L,2-3,CG(13),6,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,.000,.000,.000,.000,6,1.77,-0.236,-1.10,1B
2,137,Sep 10 (1),CHC,,PHI,W,4-0,CG,3,3,0,0,0,0,0,1,0,,1,0,0,,,0,0,0,.000,.000,.000,.000,6,,,,1B
3,138,Sep 10 (2),CHC,,PHI,W,4-2,CG,4,3,2,2,0,0,1,2,1,,1,0,0,,,0,1,0,.167,.231,.417,.647,6,,,,1B
4,139,Sep 12,CHC,,PHI,W,2-0,CG,3,3,1,1,0,1,0,1,0,0,1,0,0,,0,0,0,0,.200,.250,.533,.783,6,.74,0.132,1.03,1B
5,140,Sep 13,CHC,,NYG,W,2-0,CG,4,2,0,0,0,0,0,0,1,,0,0,1,,,0,0,0,.176,.263,.471,.734,6,,,,1B
6,141,Sep 14,CHC,,NYG,W,4-3,CG,4,3,0,1,0,0,0,0,1,1,0,0,0,,0,0,1,0,.200,.304,.450,.754,6,1.86,0.021,0.66,1B
7,142,Sep 15 (1),CHC,,NYG,L,1-5,CG,3,3,0,1,0,0,0,0,0,0,2,0,0,,0,0,0,1,.217,.308,.435,.742,6,1.31,-0.092,-0.44,1B
8,143,Sep 15 (2),CHC,,NYG,L,0-4,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.231,.310,.423,.733,6,.75,-0.031,-0.17,1B
9,144,Sep 16 (1),CHC,,NYG,L,1-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,.200,.273,.367,.639,6,1.61,-0.190,-1.10,1B
10,145,Sep 16 (2),CHC,,NYG,L,3-6,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,,0,0,0,0,.206,.270,.441,.711,6,1.35,0.053,0.11,1B
11,146,Sep 17 (1),CHC,,BRO,W,6-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,.189,.268,.405,.674,6,1.54,-0.072,-0.89,1B
12,147,Sep 17 (2),CHC,,BRO,W,6-5,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,.195,.267,.415,.681,6,.80,-0.074,-1.10,1B
13,148,Sep 18,CHC,,BRO,L,4-6,CG,5,5,1,2,0,0,0,0,0,0,1,0,0,,0,0,0,0,.217,.280,.413,.693,6,1.81,-0.120,-0.15,1B
14,149,Sep 19,CHC,,BRO,L,3-12,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.220,.278,.400,.678,6,.49,-0.001,-0.43,1B
15,151 (1),Sep 24 (1),CHC,,CIN,W,7-1,CG,4,4,2,2,1,0,0,2,0,0,1,0,0,,0,0,0,0,.241,.293,.426,.719,6,1.00,0.134,1.27,1B
16,152,Sep 24 (2),CHC,,CIN,L,0-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.224,.274,.397,.671,6,2.44,-0.250,-0.95,1B
