136 (135),Sep 9,CHC,,PHI,L,2-3,CG,52,13.0,13,3,0,16,1,1B
137,Sep 10 (1),CHC,,PHI,W,4-0,CG,0,9.0,9,2,0,11,0,
138,Sep 10 (2),CHC,,PHI,W,4-2,CG,0,9.0,14,0,0,14,0,
139,Sep 12,CHC,,PHI,W,2-0,CG,32,9.0,10,1,0,11,2,1B
140,Sep 13,CHC,,NYG,W,2-0,CG,0,9.0,7,3,0,10,2,
141,Sep 14,CHC,,NYG,W,4-3,CG,34,9.0,17,0,0,17,4,1B
142,Sep 15 (1),CHC,,NYG,L,1-5,CG,38,9.0,11,0,1,12,3,1B
143,Sep 15 (2),CHC,,NYG,L,0-4,CG,40,9.0,9,1,0,10,1,1B
144,Sep 16 (1),CHC,,NYG,L,1-2,CG,38,9.0,10,0,0,10,0,1B
145,Sep 16 (2),CHC,,NYG,L,3-6,CG,44,9.0,8,0,0,8,1,1B
146,Sep 17 (1),CHC,,BRO,W,6-5,CG,42,9.0,9,1,0,10,1,1B
147,Sep 17 (2),CHC,,BRO,W,6-5,CG,39,9.0,7,0,0,7,1,1B
148,Sep 18,CHC,,BRO,L,4-6,CG,37,9.0,9,1,0,10,0,1B
149,Sep 19,CHC,,BRO,L,3-12,CG,48,9.0,10,0,0,10,1,1B
151 (1),Sep 24 (1),CHC,,CIN,W,7-1,CG,31,9.0,10,0,0,10,3,1B
152,Sep 24 (2),CHC,,CIN,L,0-1,CG,37,9.0,8,0,0,8,1,1B
