34,18 (17),May 3,CLE,@,SLB,W,11-8,GS-0,1,1,1,1,1,0,0,0,0,,0,0,0,,,,0,,1.000,1.000,2.000,3.000,9,P
35,22 (3),May 9,CLE,,BOS,L,1-3,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,1.000,1.000,2.000,3.000,8,P
