1,104 (103),Aug 13,PHA,,BOS,L,1-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
2,108 (3),Aug 18,PHA,@,CHW,L,4-5,0-0,1,1,0,1,0,0,0,1,0,,0,0,0,,,,0,,.500,.500,.500,1.000,9,PH
3,109,Aug 19,PHA,@,CHW,L,6-14,0-GF,3,3,1,2,1,0,0,1,0,,0,0,0,,,,0,,.600,.600,.800,1.400,9,P
4,110,Aug 20,PHA,@,CLE,L,4-5,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.500,.500,.667,1.167,9,PH
