61 (60),Jun 15,PHI,,CIN,L,1-3,CG,33,9.0,3,0,0,3,0,CF
62,Jun 16,PHI,,CIN,L,6-8,CG,47,9.0,1,0,0,1,0,CF
63,Jun 17,PHI,,ATL,W,4-3,CG,33,9.0,3,1,0,4,0,CF
64,Jun 18,PHI,,ATL,W,8-4,CG,40,9.0,4,0,0,4,0,CF
65,Jun 19,PHI,,ATL,L,2-9,CG,43,9.0,1,0,0,1,0,CF
66,Jun 20,PHI,,HOU,W,7-3,GF,14,3.0,2,0,0,2,0,CF
67,Jun 21,PHI,,HOU,W,3-0,GF,6,1.0,0,0,0,0,0,PH CF
68,Jun 22,PHI,,HOU,L,3-4,CG,45,10.0,2,0,0,2,0,CF
69,Jun 23,PHI,,HOU,L,4-6,GF,5,1.0,0,0,0,0,0,PR CF
70,Jun 25,PHI,@,STL,L,9-10,GF,16,3.0,1,0,0,1,0,PH CF
71,Jun 26,PHI,@,STL,L,1-14,GF,16,3.0,1,0,0,1,0,CF
75 (3),Jun 30,PHI,@,NYM,W,10-9,GF,27,5.0,2,0,0,2,0,PH CF
76,Jul 1,PHI,,STL,L,0-1,CG,38,9.0,4,0,0,4,0,CF
79 (2),Jul 4,PHI,,STL,W,7-1,GF,4,1.0,0,0,0,0,0,CF
81 (1),Jul 6,PHI,,NYM,L,1-2,CG,39,9.0,3,0,0,3,0,CF
