11 (10),Apr 16,NYY,,MIN,L,4-9,CG,43,9.0,1,0,0,1,0,RF
12,Apr 17,NYY,@,TOR,W,7-2,CG,30,9.0,1,0,0,1,0,RF
13,Apr 18,NYY,@,TOR,W,2-0,CG,36,9.0,3,0,0,3,0,RF
14,Apr 19,NYY,@,TOR,W,4-2,CG,34,9.0,3,1,0,4,0,RF
15,Apr 21,NYY,@,CLE,L,5-6,CG,36,8.0,3,0,0,3,0,RF
17 (1),Apr 23,NYY,@,CLE,W,5-0,CG,35,9.0,3,0,0,3,0,CF
18,Apr 24,NYY,@,CLE,W,6-3,GS,29,7.0,3,0,0,3,0,RF
19,Apr 25,NYY,@,KCR,L,3-5,GF,26,5.0,5,0,0,5,0,RF
20,Apr 26,NYY,@,KCR,L,3-5,GS,29,7.0,8,0,0,8,0,RF
22 (1),Apr 28,NYY,,CHW,W,3-1,CG,37,9.0,3,0,0,3,0,RF
23,Apr 29,NYY,,CHW,W,8-2,CG,42,9.0,5,0,0,5,0,RF
24,Apr 30,NYY,,CHW,W,5-2,GF,7,2.0,1,0,0,1,0,PH RF
27 (2),May 4,NYY,@,TEX,W,11-7,GF,29,7.0,2,0,0,2,0,LF
28,May 5,NYY,@,CHW,W,7-5,GF,7,2.0,0,0,0,0,0,PH CF
34 (5),May 13,NYY,@,CAL,L,1-6,GF,3,1.0,0,0,0,0,0,CF
35,May 14,NYY,@,CAL,L,0-5,GS,28,6.0,2,0,2,4,0,CF
38 (2),May 17,NYY,@,OAK,L,3-8,GF,6,1.0,1,0,0,1,0,RF
40 (1),May 19,NYY,@,SEA,W,9-5,CG,37,9.0,1,0,0,1,0,RF
41,May 20,NYY,@,SEA,L,4-6,CG,38,8.0,7,1,0,8,1,RF
42,May 21,NYY,@,SEA,W,6-2,CG,34,9.0,1,0,0,1,0,RF
45 (2),May 26,NYY,,OAK,L,0-4,CG,39,9.0,2,0,0,2,0,CF
46,May 27,NYY,,OAK,L,0-3,CG,39,9.0,1,0,0,1,0,CF
47,May 28,NYY,,OAK,L,3-4,GS,31,8.0,1,0,0,1,0,CF
48,May 29,NYY,,SEA,W,6-3,CG,40,9.0,4,0,0,4,0,CF
49,May 30,NYY,,SEA,L,2-3,GS,28,7.0,1,0,0,1,0,CF
