1,12 (11),Apr 18,TBR,,NYY,L,0-9,7-GF,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,4,.01,0.000,0.02,2.00,0.75,PH 2B
2,13,Apr 19,TBR,,NYY,L,3-5,7-GF,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.667,1.000,1.667,8,1.73,0.103,0.61,5.00,2.00,2B
3,14,Apr 21,TBR,,BOS,L,0-1,GS-4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.750,1.000,1.750,8,1.27,-0.004,-0.02,3.00,1.00,2B
