3 (2),Mar 31,NYM,@,WSN,L,5-6,,2,0.1,0,0,0,0,0,P
6 (2),Apr 3,NYM,@,MIA,W,6-4,,7,1.0,0,0,0,0,0,P
9 (2),Apr 7,NYM,,WSN,L,9-12,,6,1.0,1,0,0,1,0,P
10,Apr 9,NYM,,MIN,L,8-14,,5,1.0,0,0,0,0,0,P
12 (1),Apr 11,NYM,@,ATL,W,6-3,,2,0.1,0,0,0,0,0,P
14 (1),Apr 13,NYM,@,ATL,L,7-11,,9,2.0,0,0,0,0,0,P
16 (1),Apr 15,NYM,@,PHI,W,7-6,,5,1.0,0,0,0,0,0,P
20 (3),Apr 20,NYM,@,STL,L,2-10,,6,1.1,0,0,0,0,0,P
23 (2),Apr 23,NYM,,PHI,W,9-0,,3,1.0,0,0,0,0,0,P
25 (1),Apr 26,NYM,,MIL,L,2-10,,6,1.0,0,0,0,0,0,P
32 (6),May 3,NYM,@,MIL,L,1-3,,3,0.2,0,0,0,0,0,P
