135 (134),Sep 7,CLE,@,SLB,L,3-8,GF,5,1.0,0,0,0,0,0,PH C
143 (7),Sep 16 (1),CLE,,NYY,W,2-1,CG,35,9.0,3,1,0,4,0,C
144,Sep 16 (2),CLE,,NYY,W,5-0,GS,34,8.0,1,0,0,1,0,C
