77,48 (47),May 20,TEX,@,CHW,L,0-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.89,-0.071,-0.71,0.00,0.00,3B
78,52 (3),May 24,TEX,,KCR,L,2-8,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.46,-0.036,-0.63,0.00,0.00,SS
79,58 (5),May 30,TEX,@,SEA,W,7-6,GS-7,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.125,.222,.125,.347,9,1.48,0.007,0.14,5.00,6.00,2B
80,69 (10),Jun 12,TEX,@,LAD,L,5-12,7-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.182,.100,.282,4,.02,-0.001,-0.57,0.00,0.00,3B
81,70,Jun 13,TEX,@,LAD,L,2-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.167,.091,.258,9,1.54,-0.038,-0.22,0.00,0.00,PH
82,130 (59),Aug 24,TEX,@,SFG,W,7-6,10-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.154,.083,.237,7,4.61,-0.078,-0.39,0.00,0.00,PH
83,144 (13),Sep 10,TEX,@,LAA,W,5-2,CG,4,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,.071,.188,.071,.259,9,.26,-0.004,-0.26,2.00,3.00,2B
84,146 (1),Sep 12,TEX,@,LAA,L,1-8,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.071,.188,.071,.259,2,,,,0.00,0.00,2B
85,151 (4),Sep 18,TEX,,TBR,L,0-4,CG,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.211,.176,.387,9,.77,-0.028,-0.09,5.00,6.00,2B
86,154 (2),Sep 22,TEX,,SEA,L,0-13,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.167,.367,2,.00,0.000,-0.19,0.00,0.00,SS
87,156 (1),Sep 24,TEX,@,LAA,L,4-5,CG(11),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.167,.136,.303,9,1.57,-0.168,-0.94,0.00,0.00,SS 3B
88,159 (2),Sep 27,TEX,@,SEA,W,2-0,CG,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.192,.250,.269,.519,9,.60,0.058,0.77,11.00,12.00,SS
89,162 (2),Sep 30,TEX,@,SEA,L,1-3,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.241,.259,.501,2,.42,-0.011,-0.10,0.00,0.00,SS
