1,144,Sep 12,PHI,,MIA,W,9-8,7-7,,99,0.2,1,0,0,0,0,0,0,0.00,3,7,5,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.003,0.27,,, 7t --- 0 out d5, 7t 1-- 2 out d5
2,145,Sep 13,PHI,,MIA,W,8-1,9-GF,,0,1.0,0,0,0,1,2,0,0,0.00,4,14,8,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.50,,, 9t --- 0 out a7, 9t end a 7
3,148,Sep 16,PHI,,OAK,W,5-3,5-6,W(1-0),2,2.0,0,0,0,0,2,0,0,0.00,6,30,21,5,4,1,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.94,0.141,0.99,,, 5t --- 0 out tie, 6t 3 out tie
4,150,Sep 18,PHI,,LAD,W,4-3,7-7,H(1),1,0.2,0,0,0,1,0,0,0,0.00,3,11,4,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.86,0.036,0.26,,, 7t --- 1 out a2, 7t 3 out a2
5,152,Sep 20,PHI,,LAD,W,7-5,7-7,,1,0.0,1,1,1,0,0,0,0,2.08,1,3,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,1.73,-0.179,-0.92,,, 7t --- 0 out a1, 7t --3 0 out a1
6,153,Sep 21,PHI,,LAD,L,4-5,8-8,,0,1.0,0,0,0,2,2,0,0,1.69,5,21,10,4,2,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.58,0.085,0.88,,, 8t 1-- 0 out d1, 8t 3 out d1
7,157,Sep 25,PHI,,WSN,L,1-3,8-GF,,3,2.0,3,1,1,0,2,0,0,2.45,9,36,27,1,10,2,5,3,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.74,-0.073,-0.01,,, 8t --- 0 out d1, 9t end d 2
8,159,Sep 27,PHI,,WSN,W,7-5,6-7,H(2),1,1.1,1,0,0,0,1,0,0,2.08,5,26,16,4,5,3,1,0,0,0,,1,0,1,0,0,5,0,0,0,0,0,0,1.50,0.133,0.72,,, 6t 1-- 2 out a1, 7t 3 out a1
9,161,Sep 30,PHI,,NYM,L,4-7,8-8,,2,1.0,0,0,0,0,2,0,0,1.86,3,14,8,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.106,0.50,,, 8t --- 0 out tie, 8t 3 out tie
10,162,Oct 1,PHI,,NYM,W,11-0,6-6,,0,1.0,0,0,0,0,2,0,0,1.69,3,10,8,1,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,0.50,,, 6t --- 0 out a6, 6t 3 out a6
