2,10,Apr 26,PHA,,BOS,L,0-7,7-8,,99,2.0,0,0,0,1,1,0,0,0.00,7,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.02,0.004,0.89, 7t --- 0 out d6, 8t 3 out d6
3,16,May 3,PHA,,CHW,L,5-8,6-7,L(0-1),6,1.1,2,3,0,2,0,1,0,0.00,9,4,1,0,0,2,,1,0,0,0,0,7,0,0,0,0,0,1,1.41,-0.341,-2.25, 6t -2- 2 out tie, 7t 3 out d3
4,21,May 8,PHA,,CLE,L,2-5,,,4,2.0,0,0,0,2,0,0,0,0.00,9,,,,,,,,,,,,6,,,,,0,,,,,,
5,24,May 11,PHA,,WSH,L,5-9,7-8,,2,2.0,6,5,5,1,2,1,0,6.14,12,3,1,0,0,5,,0,0,0,0,0,11,1,0,0,0,0,0,.60,-0.319,-4.11, 7t --- 0 out d1, 8t 3 out d4
