1,107,Aug 5,LAD,,PIT,W,8-3,8-8,,99,1.0,0,0,0,0,0,0,0,0.00,3,10,7,1,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.006,0.49, 8t --- 0 out a6, 8t 3 out a6
2,108,Aug 6,LAD,,PHI,L,5-9,6-6,,0,1.0,0,0,0,0,1,0,0,0.00,3,12,9,0,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.49,0.037,0.49, 6t --- 0 out d2, 6t 3 out d2
3,109,Aug 7,LAD,,PHI,W,6-3,8-8,,0,1.0,2,1,1,0,0,0,0,3.00,5,22,13,3,1,1,4,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.29,0.003,-0.51, 8t --- 0 out a6, 8t 3 out a5
4,113,Aug 12,LAD,@,CIN,L,5-6,8-GF(8),,4,0.2,1,0,0,0,1,0,0,2.45,3,11,8,4,1,0,2,2,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,2.86,-0.167,-0.09, 8b 12- 1 out tie, 8b end d 1
5,114,Aug 13,LAD,@,CHC,W,8-1,9-GF,,0,1.0,0,0,0,0,1,0,0,1.93,3,13,10,1,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.53, 9b --- 0 out a7, 9b end a 7
6,117,Aug 16,LAD,,FLA,L,2-4,8-GF,,2,1.1,0,0,0,0,1,0,0,1.50,4,12,8,2,1,0,3,0,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,.54,0.054,1.26, 8t 123 2 out d2, 9t end d 2
7,120,Aug 19,LAD,,ATL,L,5-6,8-8,,2,1.0,0,0,0,1,1,0,0,1.29,3,14,9,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.49,0.028,0.49, 8t --- 0 out d2, 8t 3 out d2
8,122,Aug 21,LAD,,ATL,W,7-4,8-8,,1,0.2,2,0,0,0,1,0,0,1.17,4,19,14,3,2,2,1,0,1,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.40,0.013,-0.33, 8t -2- 1 out a4, 8t 3 out a3
9,124,Aug 23,LAD,@,MON,L,7-8,5-6,,1,2.0,1,0,0,0,2,0,0,0.93,7,36,24,6,3,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.06,0.009,1.08, 5b --- 0 out d6, 6b 3 out d6
10,126,Aug 25,LAD,@,MON,L,3-6,7-GF(8),,1,1.2,1,0,0,2,0,0,0,0.79,8,35,20,7,1,1,5,0,1,0,,2,0,2,0,0,6,1,0,0,0,0,0,.34,0.030,1.49, 7b 12- 1 out d3, 8b end d 3
11,127,Aug 26,LAD,@,MON,W,10-3,7-7,,0,0.2,0,0,0,0,1,0,0,0.75,2,8,7,2,1,0,1,1,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,.60,0.029,1.62, 7b 123 1 out a7, 7b 3 out a7
12,129,Aug 28,LAD,@,NYM,W,4-2,8-8,H(1),1,1.0,0,0,0,0,2,0,0,0.69,3,15,9,4,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.143,0.51, 8b --- 0 out a1, 8b 3 out a1
13,131,Aug 31,LAD,@,ARI,W,4-1,9-10,,2,2.0,2,0,0,0,2,0,0,0.60,8,31,24,7,3,2,4,0,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.68,0.292,1.09, 9b --- 0 out tie,10b 3 out tie
14,133,Sep 2,LAD,@,ARI,W,8-4,7-8,W(1-0),1,2.0,3,1,1,0,4,1,0,1.06,9,41,27,13,2,3,2,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.21,0.103,0.09, 7b --- 0 out tie, 8b 3 out a3
15,136,Sep 5,LAD,@,STL,L,5-6,8-8,,2,1.0,0,0,0,0,1,0,0,1.00,3,18,11,4,3,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.51, 8b --- 0 out d3, 8b 3 out d3
16,137,Sep 7,LAD,,ARI,W,8-2,8-8,,1,1.0,1,0,0,0,1,0,0,0.95,4,17,11,6,0,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.006,0.49, 8t --- 0 out a6, 8t 3 out a6
17,138,Sep 8,LAD,,ARI,W,6-5,8-8,,0,0.2,0,0,0,1,1,0,0,0.92,3,12,7,3,1,0,1,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,2.63,0.108,0.52, 8t 1-- 1 out tie, 8t 3 out tie
18,139,Sep 9,LAD,,ARI,W,5-3,8-8,H(2),0,1.0,2,0,0,0,0,0,0,0.87,4,13,9,0,3,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,2.79,0.073,0.49, 8t --- 0 out a2, 8t 3 out a2
19,140,Sep 10,LAD,,STL,W,7-6,8-8,H(3),0,0.1,1,0,0,0,1,0,0,0.86,2,13,8,3,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.20,-0.008,-0.03, 8t --- 0 out a2, 8t 1-- 1 out a2
20,142,Sep 12,LAD,,STL,L,6-7,9-GF,,1,1.0,0,0,0,1,1,0,0,0.82,4,19,12,2,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.77,0.037,0.49, 9t --- 0 out d1, 9t end d 1
