16,1,Apr 15,STL,,CHC,W,6-5,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.000,.000,.000,.000,7,SS
17,2,Apr 16,STL,,CHC,L,4-13,CG,4,4,1,2,0,0,1,3,0,,0,0,0,,,,0,0,.250,.250,.625,.875,7,SS
18,3,Apr 17,STL,,CHC,L,4-7,CG,4,4,0,1,0,0,0,1,0,,0,0,0,,,,0,0,.250,.250,.500,.750,7,SS
19,4,Apr 18,STL,,CHC,L,3-6,CG,4,3,1,1,0,0,0,0,1,,0,0,0,,,,0,0,.267,.313,.467,.779,7,SS
20,5,Apr 19,STL,,PIT,L,2-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.263,.300,.421,.721,7,SS
21,6,Apr 20,STL,,PIT,W,3-2,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.227,.261,.364,.625,7,SS
22,7,Apr 21,STL,,PIT,W,11-9,CG,5,5,2,1,0,1,0,0,0,,1,0,0,,,,0,0,.222,.250,.407,.657,7,SS
23,8,Apr 22,STL,,PIT,L,7-10,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.194,.219,.355,.574,7,SS
24,9,Apr 23,STL,@,CHC,L,1-12,0-GF,2,1,0,0,0,0,0,0,1,,0,0,0,,,,0,0,.188,.235,.344,.579,7,SS
25,10,Apr 24,STL,@,CHC,L,4-5,CG,4,3,0,1,1,0,0,0,1,,1,0,0,,,,0,0,.200,.263,.371,.635,7,SS
26,11,Apr 25,STL,@,CHC,L,5-7,CG,4,3,0,1,0,0,0,0,0,,0,0,1,,,,0,0,.211,.268,.368,.637,7,SS
27,12,Apr 27,STL,@,CIN,W,6-4,0-GF,1,0,0,0,0,0,0,0,0,,0,1,0,,,,0,0,.211,.286,.368,.654,8,SS
28,14 (1),Apr 29,STL,@,CIN,W,6-3,CG,4,4,0,1,1,0,0,0,0,,1,0,0,,,,0,0,.214,.283,.381,.664,7,SS
29,15,May 1,STL,@,PIT,L,6-8,CG,4,4,1,2,1,0,0,0,0,,1,0,0,,,,0,0,.239,.300,.413,.713,7,SS
30,16,May 2,STL,@,PIT,L,2-3,CG,4,4,0,2,0,0,0,0,0,,0,0,0,,,,0,0,.260,.315,.420,.735,6,SS
31,17,May 3,STL,@,PIT,L,5-6,CG,4,4,0,1,0,1,0,1,0,,0,0,0,,,,0,0,.259,.310,.444,.755,6,SS
32,18,May 4,STL,@,CHC,L,1-4,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.246,.295,.421,.716,6,SS
