881,1,Apr 14,STL,@,CHC,L,2-7,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.250,.250,.250,.500,3,LF
882,2,Apr 15,STL,@,CHC,W,4-2,CG,4,3,0,2,0,0,0,2,1,,0,0,0,,,,0,,.429,.500,.429,.929,3,LF
883,3,Apr 16,STL,@,CHC,L,2-4,CG,4,3,1,2,0,0,0,0,1,,0,0,0,,,,1,,.500,.583,.500,1.083,3,LF
884,4,Apr 17,STL,@,CHC,W,7-4,CG,5,1,1,1,0,0,0,,3,,0,0,1,,,,1,,.545,.688,.545,1.233,2,LF
885,5,Apr 18,STL,@,CIN,L,2-6,CG,5,5,1,2,0,0,0,0,0,,1,0,0,,,,0,,.500,.619,.500,1.119,2,LF
886,6,Apr 19,STL,@,CIN,L,1-4,CG,4,4,0,0,0,0,0,0,0,,2,0,0,,,,0,,.400,.520,.400,.920,2,LF
887,7,Apr 20,STL,@,CIN,L,0-2,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.333,.448,.333,.782,2,LF
888,8,Apr 21,STL,@,CIN,L,0-1,CG(5),2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,,.308,.419,.308,.727,2,LF
889,9,Apr 22,STL,,CHC,W,9-5,CG,4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.267,.371,.267,.638,2,LF
890,10,Apr 23,STL,,CHC,L,4-8,CG,5,4,1,3,0,0,0,0,1,,0,0,0,,,,0,,.324,.425,.324,.749,2,LF
891,11,Apr 24,STL,,CHC,W,3-0,CG,4,4,1,1,0,0,0,0,0,,1,0,0,,,,0,,.316,.409,.316,.725,2,LF
892,12,Apr 25,STL,,PIT,W,8-1,CG,4,3,1,1,0,0,0,0,1,,0,0,0,,,,1,,.317,.417,.317,.734,2,LF
893,13,Apr 26,STL,,PIT,W,3-0,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,1,,.289,.385,.289,.674,2,LF
894,14,Apr 27,STL,,PIT,W,3-0,CG,4,3,1,2,0,0,0,0,1,,0,0,0,,,,1,,.313,.411,.313,.723,2,LF
895,27 (12),May 14,STL,@,BSN,W,5-4,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,.313,.411,.313,.723,8,PR
896,32 (4),May 20,STL,@,BRO,W,3-1,CG,4,4,0,0,0,0,0,1,0,,0,0,0,,,,0,,.288,.383,.288,.672,1,LF
897,33,May 25,STL,@,NYG,W,11-5,CG,5,4,1,2,1,0,0,2,0,,1,0,1,,,,0,,.304,.391,.321,.712,3,LF
898,34,May 27,STL,@,NYG,W,6-5,CG(10),5,5,1,1,0,0,0,0,0,,1,0,0,,,,0,,.295,.377,.311,.688,3,LF
899,39 (4),May 31 (1),STL,,CIN,L,1-2,CG,4,3,0,1,0,0,0,0,1,,0,0,0,,,,0,,.297,.384,.313,.696,3,LF
900,40,May 31 (2),STL,,CIN,T,4-4,CG,5,5,0,3,0,0,0,1,0,,1,0,0,,,,0,,.319,.397,.333,.731,3,LF
901,41,Jun 1,STL,,CIN,W,4-2,GS-0,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.306,.383,.319,.702,3,LF
902,42,Jun 2,STL,,CIN,W,5-4,CG,5,4,0,0,0,0,0,0,1,,0,0,0,,,,0,,.289,.372,.303,.675,3,LF
903,43,Jun 3,STL,,CIN,L,2-5,CG,4,4,0,1,0,0,0,1,0,,0,0,0,,,,1,,.288,.367,.300,.667,3,LF
904,44,Jun 4,STL,,CIN,W,6-1,CG,4,2,1,1,0,0,0,0,1,,1,0,1,,,,1,,.293,.376,.305,.681,3,LF
905,45,Jun 5,STL,,PHI,L,0-3,CG,4,4,0,0,0,0,0,0,0,,2,0,0,,,,0,,.279,.361,.291,.652,2,LF
906,46,Jun 6,STL,,PHI,W,3-1,CG,4,4,1,1,1,0,0,,0,,1,0,0,,,,0,,.278,.356,.300,.656,2,LF
907,47,Jun 7,STL,,PHI,L,4-8,CG,5,4,0,1,0,0,0,,1,,0,0,0,,,,0,,.277,.358,.298,.656,2,LF
908,48,Jun 8,STL,,PHI,L,4-5,CG,5,4,1,0,0,0,0,,1,,0,0,0,,,,2,,.265,.351,.286,.637,2,LF
909,49,Jun 9,STL,,NYG,W,11-10,CG,5,5,1,2,1,0,0,,0,,0,0,0,,,,0,,.272,.353,.301,.654,2,LF
910,50,Jun 10,STL,,NYG,W,13-2,CG,6,4,3,1,0,0,1,5,2,,0,0,0,,,,0,,.271,.361,.327,.688,2,LF
911,51,Jun 11,STL,,NYG,L,2-3,CG,4,3,0,1,0,0,0,0,1,,0,0,0,,,,0,,.273,.365,.327,.692,2,LF
912,52,Jun 12,STL,,NYG,W,8-3,CG,4,4,2,2,0,0,0,,0,,0,0,0,,,,0,,.281,.369,.333,.703,2,LF
913,53,Jun 13,STL,,BRO,W,9-2,CG,5,3,1,1,0,0,0,,1,,0,0,1,,,,1,,.282,.373,.333,.706,2,LF
914,54,Jun 14,STL,,BRO,L,1-2,CG,4,4,0,1,0,0,0,0,0,,1,0,0,,,,0,,.281,.370,.331,.700,2,LF
915,55,Jun 15,STL,,BRO,W,4-2,CG,4,3,0,2,0,0,0,,1,,1,0,0,,,,0,,.290,.380,.339,.719,2,LF
916,56,Jun 16,STL,,BRO,W,4-3,CG,4,4,0,0,0,0,0,,0,,1,0,0,,,,0,,.281,.370,.328,.698,2,LF
917,57,Jun 17,STL,,BSN,W,2-0,CG,4,3,0,1,1,0,0,0,1,,0,0,0,,,,0,,.282,.373,.336,.709,2,LF
918,58,Jun 18,STL,,BSN,W,3-2,CG(12),6,5,2,1,0,0,0,0,1,,2,0,0,,,,1,,.279,.372,.331,.703,2,LF
919,59,Jun 19,STL,,BSN,W,6-1,GS-0,2,1,0,0,0,0,0,0,0,,1,1,0,,,,0,,.277,.373,.328,.702,2,LF
920,60,Jun 20,STL,,BSN,W,8-2,CG,4,3,2,1,0,1,0,,0,,1,1,0,,,,0,,.279,.377,.343,.719,2,LF
921,61,Jun 23,STL,@,CHC,L,3-5,CG,5,5,1,2,1,0,0,1,0,,0,0,0,,,,0,,.283,.377,.352,.729,2,LF
922,62,Jun 24,STL,@,CHC,L,13-14,CG,6,6,3,4,0,0,0,,0,,0,0,0,,,,0,,.298,.387,.364,.752,2,LF
923,63,Jun 25,STL,@,CHC,L,0-5,CG,4,3,0,0,0,0,0,0,1,,0,0,0,,,,0,,.292,.384,.357,.741,2,LF
924,64,Jun 26,STL,@,CHC,W,4-3,GS-0,4,3,1,1,1,0,0,0,1,,0,0,0,,,,0,,.293,.387,.363,.750,2,LF
925,67 (2),Jun 30 (1),STL,,PIT,W,2-0,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.288,.380,.356,.737,2,LF
926,68,Jun 30 (2),STL,,PIT,L,2-4,CG(10),5,4,0,0,0,0,0,0,1,,1,0,0,,,,0,,.280,.376,.348,.723,2,LF
927,69,Jul 1,STL,@,CIN,L,4-5,CG,4,4,1,1,0,0,0,,0,,0,0,0,,,,0,,.280,.373,.345,.718,3,LF
928,70,Jul 2,STL,@,CIN,W,2-0,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.273,.365,.337,.703,3,LF
929,71,Jul 4 (1),STL,@,CIN,L,0-1,CG,3,2,0,0,0,0,0,0,0,,0,0,1,,,,0,,.270,.362,.333,.695,3,LF
930,72,Jul 4 (2),STL,@,CIN,L,2-3,CG(7),3,3,1,1,1,0,0,0,0,,1,0,0,,,,0,,.271,.361,.339,.700,3,LF
931,73,Jul 5 (1),STL,@,PIT,W,3-1,CG,4,2,0,0,0,0,0,1,0,,2,1,1,,,,0,,.268,.361,.335,.696,3,LF
932,74,Jul 5 (2),STL,@,PIT,L,0-5,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.262,.354,.328,.682,3,LF
933,75,Jul 6,STL,@,PIT,W,2-1,CG,5,4,0,1,0,0,0,0,1,,1,0,0,,,,0,,.262,.355,.326,.681,3,LF
934,76,Jul 9,STL,@,BSN,L,3-4,CG(10),4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.257,.349,.319,.668,3,LF
935,77,Jul 10 (1),STL,@,BSN,W,7-1,CG,4,3,0,0,0,0,0,,0,,1,0,1,,,,0,,.253,.344,.314,.658,2,LF
936,78,Jul 10 (2),STL,@,BSN,L,1-3,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.247,.338,.308,.646,2,LF
