1,Apr 11,STL,@,CIN,L,1-3,CG,0,8.0,3,0,0,3,0,
2,Apr 12,STL,@,CIN,L,0-1,CG,0,8.0,3,0,0,3,0,
3,Apr 13,STL,@,CIN,W,3-2,CG,0,9.0,2,0,0,2,0,
4,Apr 14,STL,@,CIN,W,2-1,CG,0,9.0,3,0,0,3,0,
5,Apr 15,STL,@,CHC,W,5-3,CG,0,9.0,2,0,0,2,0,
6,Apr 16,STL,@,CHC,W,5-1,CG,0,9.0,0,0,0,0,0,
7,Apr 18,STL,@,CHC,L,2-9,GS,0, ,2,0,0,2,0,
8,Apr 19,STL,,CIN,W,4-1,CG,0,9.0,3,0,0,3,0,
9,Apr 20,STL,,CIN,W,7-6,CG,0,9.0,4,0,0,4,0,
10,Apr 21,STL,,CIN,W,3-2,CG,0,9.0,0,0,0,0,0,
11,Apr 22,STL,,PIT,W,4-1,CG,0,9.0,2,0,0,2,0,
12,Apr 23,STL,,PIT,L,0-2,CG,0,9.0,1,0,0,1,0,
13,Apr 24,STL,,PIT,W,2-1,CG,0,10.0,2,0,0,2,0,
14,Apr 25,STL,,PIT,L,8-10,CG,0,10.0,2,0,1,3,0,
15,Apr 29,STL,,CHC,L,5-6,CG,0,11.0,3,0,0,3,0,
16,May 1,STL,,CHC,L,0-9,CG,0,9.0,4,0,0,4,0,
17,May 2,STL,@,PIT,W,4-0,CG,0,9.0,1,0,0,1,0,
18,May 3,STL,@,PIT,W,4-3,CG,0,9.0,2,0,0,2,0,
19,May 6,STL,@,CIN,W,4-0,CG,0,9.0,2,0,0,2,0,
20,May 10,STL,@,PHI,L,0-1,CG,0,8.0,1,0,0,1,0,
21,May 11,STL,@,PHI,L,0-4,CG,0,8.0,1,0,0,1,0,
22,May 12,STL,@,PHI,L,1-3,CG,0,8.0,3,0,0,3,0,
23,May 14,STL,@,NYG,W,3-1,CG,0,10.0,5,0,0,5,0,
24,May 15,STL,@,NYG,W,5-4,CG,0,10.0,1,0,0,1,0,
25,May 17,STL,@,NYG,L,2-10,GS,0, ,1,0,0,1,0,
30 (4),May 24,STL,@,BSN,W,9-7,GF,0, ,1,0,0,1,0,
43 (12),Jun 7,STL,,BSN,W,9-4,,0, ,0,0,0,0,0,
50 (6),Jun 16,STL,,BRO,L,5-7,GF,0, ,0,0,0,0,0,
52 (1),Jun 18,STL,,PIT,L,0-4,CG,0,9.0,1,0,0,1,0,
53,Jun 19,STL,,PIT,L,3-7,CG,0,11.0,2,0,0,2,0,
55 (1),Jun 21,STL,,CIN,L,1-7,CG,0,9.0,3,0,0,3,0,
62 (6),Jun 27 (1),STL,,CHC,L,2-4,GF,0, ,1,0,0,1,0,
