32,7,Apr 24,WSH,@,NYY,L,0-4,,L(0-1),99,1.0,4,3,3,1,0,0,0,27.00,8,,,,,7,,,,,0,
33,15,May 3,WSH,,NYY,L,2-3,,,8,1.0,0,0,0,0,1,0,0,13.50,3,,,,,3,,,,,0,
34,17,May 5,WSH,,BOS,L,1-4,,,1,0.1,0,0,0,0,0,0,0,11.57,1,,,,,1,,,,,0,
35,21,May 13,WSH,@,CLE,L,2-5,,,7,1.0,2,1,1,0,1,0,0,10.80,4,,,,,4,,,,,0,
36,23,May 15,WSH,@,CLE,L,9-10,,,1,0.0,1,1,1,0,0,0,0,13.50,1,,,,,1,,,,,0,
37,25,May 18,WSH,@,CHW,L,8-14,,,2,1.0,5,3,2,0,0,0,0,14.54,8,,,,,8,,,,,0,
38,29,May 22,WSH,@,SLB,L,7-12,,,3,4.0,7,3,3,3,0,0,0,10.80,22,,,,,19,,,,,0,
39,37,Jun 1(1),WSH,,PHA,L,4-7,,,9,2.2,2,0,0,0,3,0,1,8.18,9,,,,,8,,,,,0,
40,39,Jun 2(1),WSH,,PHA,L,5-7,,,0,1.0,2,1,1,0,0,1,0,8.25,5,,,,,5,,,,,0,
41,47,Jun 9,WSH,,SLB,L,4-5,,,6,3.0,2,0,0,1,2,0,0,6.60,12,,,,,11,,,,,0,
42,55,Jun 19,WSH,,CLE,W,7-6,,,9,2.0,0,0,0,3,1,0,0,5.82,7,,,,,4,,,,,0,
43,56,Jun 20,WSH,,CLE,L,1-5,,,0,1.0,2,3,3,4,0,0,0,7.00,9,,,,,4,,,,,0,
