76,2,Apr 15,BOS,@,NYY,L,7-8,6-8,,99,3.0,1,1,1,4,3,0,0,3.00,14,5,1,0,0,1,,0,0,2,0,0,9,0,0,0,0,0,0,.49,-0.019,0.65, 6b --- 0 out d4, 8b 3 out d2
77,5,Apr 19,BOS,@,WSH,L,0-8,,,3,1.1,3,0,0,1,0,0,0,2.08,8,,,,,,,,,,,,7,,,,,0,,,,,,
78,7,Apr 21,BOS,@,WSH,L,3-12,2-4,,1,3.0,6,5,5,2,0,2,0,7.36,17,3,6,0,2,6,,2,1,0,0,0,15,0,0,0,0,0,0,.27,-0.062,-3.23, 2b 12- 0 out d4, 4b 3 out d8
79,9,Apr 24,BOS,,NYY,L,4-7,6-7,,2,1.1,1,0,0,1,0,0,0,6.23,4,2,0,0,0,1,,2,1,0,0,0,3,0,0,0,1,0,0,.16,-0.013,0.00, 6t 12- 2 out d5, 7t 3 out d6
80,10,Apr 25,BOS,,NYY,W,5-4,8-8,,0,0.1,0,0,0,0,0,0,0,6.00,1,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,5.59,0.144,0.80, 8t 123 2 out tie, 8t 3 out tie
81,12,May 2(1),BOS,,WSH,L,2-6,8-9,,6,1.1,5,3,3,1,2,0,0,7.84,10,2,1,0,1,4,,0,0,0,0,0,8,2,0,0,0,0,0,.59,-0.042,-2.63, 8t --- 0 out d2, 9t -2- 1 out d5
82,14,May 3,BOS,@,NYY,L,3-8,2-5,,0,3.1,7,4,0,1,0,0,0,5.93,20,6,6,1,0,7,,2,0,1,0,0,19,0,0,1,1,0,3,.36,-0.073,-1.83, 2b 1-3 2 out d3, 5b 3 out d7
83,30,May 23,BOS,@,PHA,L,1-7,8-GF(8),,19,1.0,1,0,0,1,0,0,0,5.52,4,1,1,1,0,1,,0,0,0,0,1,3,0,0,0,0,0,0,.02,0.001,0.61, 8b --- 0 out d6, 8b end d 6
84,33,May 27(1),BOS,,WSH,L,3-11,7-GF,,3,2.2,0,0,0,1,2,0,0,4.67,10,3,4,1,1,0,,1,1,0,0,0,9,0,0,0,0,0,1,.00,0.000,1.06, 7t --3 1 out d10, 9t end d 8
85,38,May 31(1),BOS,,PHA,L,4-7,8-GF,,3,2.0,0,0,0,2,0,0,0,4.19,7,2,3,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.16,0.014,1.09, 8t --- 0 out d5, 9t end d 3
86,41,Jun 3,BOS,,CLE,L,4-5,GS-,,2,0.1,3,3,3,1,0,0,0,5.49,5,,,,,,32,,,,,,4,,,,,0,,,,,,
