31,4 (3),Mar 31,LAD,,ARI,W,8-7,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.32,-0.008,-0.15,,,P
32,9 (4),Apr 6,LAD,@,COL,W,7-2,GS-6,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.43,-0.058,-0.62,,,P
33,14 (4),Apr 11,LAD,@,STL,L,7-11,GS-5,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.250,1.000,1.250,9,.49,0.072,0.78,,,P
34,20 (5),Apr 17,LAD,,CIN,W,3-2,GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.167,.167,.667,.833,9,1.11,-0.075,-0.53,,,P
35,26 (5),Apr 24,LAD,@,CHC,L,6-7,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.500,.625,9,.97,-0.050,-0.49,,,P
36,32 (5),Apr 30,LAD,@,SFG,W,10-3,GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.091,.364,.455,9,.49,-0.037,-0.70,,,P
37,37 (4),May 6,LAD,,ATL,W,5-3,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.071,.071,.286,.357,9,.49,-0.039,-1.32,,,P
38,42 (4),May 11,LAD,,WSN,L,2-5,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.063,.063,.250,.313,9,.98,-0.051,-0.57,,,P
39,47 (4),May 18,LAD,@,CIN,L,0-4,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.056,.056,.222,.278,9,1.14,-0.060,-0.67,,,P
40,51 (3),May 24,LAD,@,PIT,W,10-2,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.048,.048,.190,.238,9,.21,-0.015,-0.37,,,P
