138 (137),Sep 16,DET,@,NYY,W,4-3,GS,0, ,0,0,0,0,0,
144 (5),Sep 22 (1),DET,@,PHA,L,0-4,CG,0,8.0,1,0,0,1,0,
145,Sep 22 (2),DET,@,PHA,L,0-1,CG,0,8.0,4,0,0,4,0,
146,Sep 23,DET,@,PHA,L,8-21,CG,0,8.0,2,0,0,2,0,
