1,22,May 14,PHA,@,CHW,L,2-6,GS-,,99,3.0,0,0,0,5,1,0,0,0.00,13,55,,,,8,,,,,0,
2,25,May 17,PHA,@,CHW,L,0-7,,,2,1.0,2,2,2,1,0,0,0,4.50,5,,,,,4,,,,,0,
3,65,Jul 4(1),PHA,@,BOS,L,3-6,,,47,4.0,4,0,0,0,0,0,0,2.25,12,,,,,12,,,,,0,
4,87,Jul 27,PHA,,DET,L,3-11,,,22,5.0,4,5,2,3,0,0,0,2.77,18,,,,,15,,,,,0,
5,91,Jul 31,PHA,,CLE,L,5-8,,,3,1.0,0,0,0,0,0,0,0,2.57,3,,,,,3,,,,,0,
6,94,Aug 3,PHA,,CHW,L,0-4,,,2,8.2,8,1,1,5,3,0,0,1.99,41,,,,,36,,,,,0,
7,104,Aug 13,PHA,,BOS,L,1-5,,,9,3.0,1,0,0,2,1,0,1,1.75,16,,,,,13,,,,,0,
8,108,Aug 18,PHA,@,CHW,L,4-5,GS-,,4,1.0,3,3,3,3,0,0,0,2.70,9,32,,,,6,,,,,0,
9,109,Aug 19,PHA,@,CHW,L,6-14,,,0,1.0,3,2,2,0,0,0,0,3.25,6,,,,,5,,,,,0,
10,122,Aug 31(2),PHA,@,BOS,L,2-6,,,11,5.0,4,1,1,1,1,0,0,3.03,18,,,,,17,,,,,0,
11,129,Sep 7,PHA,,BOS,L,0-5,,,6,1.0,0,0,0,0,1,0,0,2.94,3,,,,,3,,,,,0,
12,131,Sep 10(2),PHA,,NYY,L,1-5,,,2,2.0,2,1,1,0,1,0,0,3.03,8,,,,,8,,,,,0,
13,133,Sep 11(2),PHA,,NYY,L,1-4,,,0,2.0,1,1,1,2,1,0,0,3.11,10,,,,,8,,,,,0,
14,139,Sep 18,PHA,,CHW,L,1-6,,,6,1.0,0,0,0,0,1,0,0,3.03,3,,,,,3,,,,,0,
